iwwf_id,nom,date_debut,date_fin,annee,pays,ville,discipline,niveau,statut_collecte,source_url
26FRA021,Championnat de France U21 + OPEN,2026-07-17,2026-07-19,2026,FRA,Jaumard,classic,championnat_france,controlee,https://www.iwwfed-ea.org/classic/26FRA021/
25FRA206,Championnat de France U21 + OPEN,2025-07-12,2025-07-13,2025,FRA,Montbéliard,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/25FRA206/
24FRA027,Championnat de France U21 + OPEN,2024-07-16,2024-07-17,2024,FRA,Seysses,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/24FRA027/
23FRA018,Championnat de France 2023 - U21 OPEN,2023-07-18,2023-07-19,2023,FRA,Bordeaux,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/23FRA018/
22FRA031,Championnat de France OPEN U21,2022-07-18,2022-07-20,2022,FRA,Grenoble,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/22FRA031/
21FRA046,Championnat de France OPEN 2021,2021-07-13,2021-07-14,2021,FRA,Muret,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/21FRA046/
20FRA030,Championnats de France OPEN 2020,2020-08-08,2020-08-09,2020,FRA,Arc-sur-Tille,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/20FRA030/
19FRA001,French OPEN National Championships & OPEN de FRANCE,2019-09-06,2019-09-07,2019,FRA,Tours,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/19FRA001/
18FRA001,OPEN French Nationals 2018,2018-07-21,2018-07-22,2018,FRA,Ézy-sur-Eure,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/18FRA001/
17FRA002,Championnats de France Open Senior Handi 2017,2017-07-13,2017-07-16,2017,FRA,Saint-Pardoux,classic,championnat_france,a_collecter,https://www.iwwfed-ea.org/classic/17FRA002/
