annee;population;participants;femmes;hommes;sexe_non_renseigne;taux_femmes_pct;inscriptions;nouveaux_dans_base;nouveaux_dans_population;presents_annee_precedente;participants_annee_precedente;taux_fidelisation_pct
2017;Jeunes/U21;48;15;33;0;31.2;48;48;48;0;0;
2017;Open;28;14;14;0;50.0;28;28;28;0;0;
2017;Seniors;31;5;26;0;16.1;32;31;31;0;0;
2017;Tous;103;32;71;0;31.1;108;103;103;0;0;
2018;Jeunes/U21;46;21;25;0;45.7;46;15;18;28;48;58.3
2018;Open;18;8;10;0;44.4;18;8;10;8;28;28.6
2018;Seniors;42;5;37;0;11.9;42;22;22;20;31;64.5
2018;Tous;101;32;69;0;31.7;106;42;42;59;103;57.3
2019;Jeunes/U21;48;20;28;0;41.7;48;8;8;36;46;78.3
2019;Open;24;7;17;0;29.2;24;2;6;10;18;55.6
2019;Seniors;30;4;26;0;13.3;30;8;8;19;42;45.2
2019;Tous;99;31;68;0;31.3;102;18;18;65;101;64.4
2020;Jeunes/U21;46;16;30;0;34.8;46;6;7;34;48;70.8
2020;Open;21;8;13;0;38.1;21;0;6;13;24;54.2
2020;Seniors;23;2;21;0;8.7;23;6;6;13;30;43.3
2020;Tous;82;22;60;0;26.8;90;12;12;61;99;61.6
2021;Jeunes/U21;23;7;16;0;30.4;23;0;0;20;46;43.5
2021;Open;17;7;10;0;41.2;17;1;3;10;21;47.6
2021;Seniors;53;9;44;0;17.0;53;14;15;20;23;87.0
2021;Autres;21;9;12;0;42.9;21;7;21;0;0;
2021;Tous;110;30;80;0;27.3;114;22;22;64;82;78.0
2022;Jeunes/U21;21;11;10;0;52.4;21;3;7;7;23;30.4
2022;Open;30;11;19;0;36.7;31;1;9;12;17;70.6
2022;Seniors;53;9;44;0;17.0;53;15;17;31;53;58.5
2022;Tous;102;30;72;0;29.4;105;19;19;66;110;60.0
2023;Jeunes/U21;43;16;27;0;37.2;46;11;14;16;21;76.2
2023;Open;21;9;12;0;42.9;21;4;5;12;30;40.0
2023;Seniors;45;7;38;0;15.6;45;6;6;31;53;58.5
2023;Tous;109;32;77;0;29.4;112;21;21;68;102;66.7
2024;Jeunes/U21;32;15;17;0;46.9;33;8;8;23;43;53.5
2024;Open;19;9;10;0;47.4;19;2;2;11;21;52.4
2024;Seniors;41;8;33;0;19.5;41;3;3;28;45;62.2
2024;Tous;91;32;59;0;35.2;93;12;12;66;109;60.6
2025;Jeunes/U21;34;12;22;0;35.3;36;6;6;22;32;68.8
2025;Open;15;8;7;0;53.3;15;3;5;9;19;47.4
2025;Seniors;43;10;33;0;23.3;44;11;11;23;41;56.1
2025;Tous;88;28;60;0;31.8;95;18;18;55;91;60.4
2026;Jeunes/U21;41;15;26;0;36.6;43;15;15;24;34;70.6
2026;Open;12;7;5;0;58.3;12;2;2;6;15;40.0
2026;Seniors;17;5;12;0;29.4;17;5;5;8;43;18.6
2026;Tous;69;26;43;0;37.7;72;22;22;38;88;43.2
