annee;population;categorie;participants;femmes;hommes;taux_femmes_pct
2017;Jeunes/U21;U10;8;1;7;12.5
2017;Jeunes/U21;U12;6;2;4;33.3
2017;Jeunes/U21;U14;13;6;7;46.2
2017;Jeunes/U21;U17;21;6;15;28.6
2017;Open;Open;28;14;14;50.0
2017;Seniors;35+;6;1;5;16.7
2017;Seniors;45+;13;3;10;23.1
2017;Seniors;55+;11;1;10;9.1
2017;Seniors;65+;2;0;2;0.0
2018;Jeunes/U21;U10;3;1;2;33.3
2018;Jeunes/U21;U12;8;5;3;62.5
2018;Jeunes/U21;U14;9;4;5;44.4
2018;Jeunes/U21;U17;16;6;10;37.5
2018;Jeunes/U21;U21;10;5;5;50.0
2018;Open;Open;18;8;10;44.4
2018;Seniors;35+;4;1;3;25.0
2018;Seniors;45+;10;3;7;30.0
2018;Seniors;55+;20;1;19;5.0
2018;Seniors;65+;8;0;8;0.0
2019;Jeunes/U21;U10;3;2;1;66.7
2019;Jeunes/U21;U12;8;3;5;37.5
2019;Jeunes/U21;U14;8;3;5;37.5
2019;Jeunes/U21;U17;18;7;11;38.9
2019;Jeunes/U21;U21;11;5;6;45.5
2019;Open;Open;24;7;17;29.2
2019;Seniors;35+;5;3;2;60.0
2019;Seniors;45+;10;1;9;10.0
2019;Seniors;55+;11;0;11;0.0
2019;Seniors;65+;4;0;4;0.0
2020;Jeunes/U21;U10;3;1;2;33.3
2020;Jeunes/U21;U12;4;0;4;0.0
2020;Jeunes/U21;U14;9;5;4;55.6
2020;Jeunes/U21;U17;15;5;10;33.3
2020;Jeunes/U21;U21;15;5;10;33.3
2020;Open;Open;21;8;13;38.1
2020;Seniors;35+;4;1;3;25.0
2020;Seniors;45+;6;1;5;16.7
2020;Seniors;55+;10;0;10;0.0
2020;Seniors;65+;2;0;2;0.0
2020;Seniors;70+;1;0;1;0.0
2021;Jeunes/U21;U14;11;3;8;27.3
2021;Jeunes/U21;U21;12;4;8;33.3
2021;Open;Open;17;7;10;41.2
2021;Seniors;35+;5;1;4;20.0
2021;Seniors;45+;14;5;9;35.7
2021;Seniors;55+;23;3;20;13.0
2021;Seniors;65+;11;0;11;0.0
2021;Autres;-10;3;2;1;66.7
2021;Autres;-12;6;1;5;16.7
2021;Autres;-17;12;6;6;50.0
2022;Jeunes/U21;U10;1;0;1;0.0
2022;Jeunes/U21;U12;4;4;0;100.0
2022;Jeunes/U21;U14;8;1;7;12.5
2022;Jeunes/U21;U17;7;5;2;71.4
2022;Jeunes/U21;U21;1;1;0;100.0
2022;Open;Open;30;11;19;36.7
2022;Seniors;35+;7;2;5;28.6
2022;Seniors;45+;19;3;16;15.8
2022;Seniors;55+;18;4;14;22.2
2022;Seniors;65+;4;0;4;0.0
2022;Seniors;70+;4;0;4;0.0
2022;Seniors;75+;1;0;1;0.0
2023;Jeunes/U21;U10;3;1;2;33.3
2023;Jeunes/U21;U12;5;2;3;40.0
2023;Jeunes/U21;U14;9;4;5;44.4
2023;Jeunes/U21;U17;14;5;9;35.7
2023;Jeunes/U21;U21;15;4;11;26.7
2023;Open;Open;21;9;12;42.9
2023;Seniors;35+;8;1;7;12.5
2023;Seniors;45+;13;1;12;7.7
2023;Seniors;55+;16;5;11;31.2
2023;Seniors;65+;3;0;3;0.0
2023;Seniors;70+;4;0;4;0.0
2023;Seniors;75+;1;0;1;0.0
2024;Jeunes/U21;U10;3;2;1;66.7
2024;Jeunes/U21;U12;3;1;2;33.3
2024;Jeunes/U21;U14;10;6;4;60.0
2024;Jeunes/U21;U17;8;1;7;12.5
2024;Jeunes/U21;U21;9;6;3;66.7
2024;Open;Open;19;9;10;47.4
2024;Seniors;35+;10;2;8;20.0
2024;Seniors;45+;14;3;11;21.4
2024;Seniors;55+;10;3;7;30.0
2024;Seniors;65+;2;0;2;0.0
2024;Seniors;70+;3;0;3;0.0
2024;Seniors;75+;2;0;2;0.0
2025;Jeunes/U21;U10;2;1;1;50.0
2025;Jeunes/U21;U12;7;4;3;57.1
2025;Jeunes/U21;U14;5;2;3;40.0
2025;Jeunes/U21;U17;11;4;7;36.4
2025;Jeunes/U21;U21;11;3;8;27.3
2025;Open;Open;15;8;7;53.3
2025;Seniors;35+;10;3;7;30.0
2025;Seniors;45+;13;1;12;7.7
2025;Seniors;55+;12;4;8;33.3
2025;Seniors;65+;5;2;3;40.0
2025;Seniors;70+;3;0;3;0.0
2025;Seniors;75+;1;0;1;0.0
2026;Jeunes/U21;U10;6;4;2;66.7
2026;Jeunes/U21;U12;9;3;6;33.3
2026;Jeunes/U21;U14;6;2;4;33.3
2026;Jeunes/U21;U17;12;6;6;50.0
2026;Jeunes/U21;U21;9;2;7;22.2
2026;Jeunes/U21;U8;1;0;1;0.0
2026;Open;Open;12;7;5;58.3
2026;Seniors;35+;3;3;0;100.0
2026;Seniors;45+;5;2;3;40.0
2026;Seniors;55+;4;0;4;0.0
2026;Seniors;65+;4;0;4;0.0
2026;Seniors;75+;1;0;1;0.0
