annee;population;sexe;epreuve;participations;champs_possibles;champs_effectifs;champs_de_1_a_3_participants;participants_moyens_par_champ_effectif;places_de_podium_couvertes;part_du_champ_couverte_pct
2017;Relève;F;Slalom;15;5;4;2;3.8;9;60.0
2017;Relève;F;Figures;12;5;4;2;3.0;9;75.0
2017;Relève;F;Saut;7;5;2;1;3.5;6;85.7
2017;Relève;F;Combiné;7;5;2;1;3.5;6;85.7
2017;Relève;H;Slalom;33;5;4;0;8.2;12;36.4
2017;Relève;H;Figures;22;5;4;1;5.5;12;54.5
2017;Relève;H;Saut;20;5;4;1;5.0;11;55.0
2017;Relève;H;Combiné;18;5;4;1;4.5;11;61.1
2017;Relève;H/F;Slalom;48;10;8;2;6.0;21;43.8
2017;Relève;H/F;Figures;34;10;8;3;4.2;21;61.8
2017;Relève;H/F;Saut;27;10;6;2;4.5;17;63.0
2017;Relève;H/F;Combiné;25;10;6;2;4.2;17;68.0
2017;U21 / Open;F;Slalom;13;2;1;0;13.0;3;23.1
2017;U21 / Open;F;Figures;8;2;1;0;8.0;3;37.5
2017;U21 / Open;F;Saut;6;2;1;0;6.0;3;50.0
2017;U21 / Open;F;Combiné;6;2;1;0;6.0;3;50.0
2017;U21 / Open;H;Slalom;12;2;1;0;12.0;3;25.0
2017;U21 / Open;H;Figures;7;2;1;0;7.0;3;42.9
2017;U21 / Open;H;Saut;5;2;1;0;5.0;3;60.0
2017;U21 / Open;H;Combiné;5;2;1;0;5.0;3;60.0
2017;U21 / Open;H/F;Slalom;25;4;2;0;12.5;6;24.0
2017;U21 / Open;H/F;Figures;15;4;2;0;7.5;6;40.0
2017;U21 / Open;H/F;Saut;11;4;2;0;5.5;6;54.5
2017;U21 / Open;H/F;Combiné;11;4;2;0;5.5;6;54.5
2017;Seniors;F;Slalom;5;6;3;3;1.7;5;100.0
2017;Seniors;F;Figures;3;6;2;2;1.5;3;100.0
2017;Seniors;F;Saut;2;6;2;2;1.0;2;100.0
2017;Seniors;F;Combiné;2;6;2;2;1.0;2;100.0
2017;Seniors;H;Slalom;23;6;4;1;5.8;10;43.5
2017;Seniors;H;Figures;11;6;4;3;2.8;10;90.9
2017;Seniors;H;Saut;7;6;3;3;2.3;7;100.0
2017;Seniors;H;Combiné;7;6;3;3;2.3;7;100.0
2017;Seniors;H/F;Slalom;28;12;7;4;4.0;15;53.6
2017;Seniors;H/F;Figures;14;12;6;5;2.3;13;92.9
2017;Seniors;H/F;Saut;9;12;5;5;1.8;9;100.0
2017;Seniors;H/F;Combiné;9;12;5;5;1.8;9;100.0
2018;Relève;F;Slalom;15;5;4;1;3.8;10;66.7
2018;Relève;F;Figures;14;5;4;1;3.5;10;71.4
2018;Relève;F;Saut;9;5;4;4;2.2;9;100.0
2018;Relève;F;Combiné;8;5;3;3;2.7;8;100.0
2018;Relève;H;Slalom;19;5;4;2;4.8;11;57.9
2018;Relève;H;Figures;15;5;4;2;3.8;11;73.3
2018;Relève;H;Saut;17;5;4;2;4.2;11;64.7
2018;Relève;H;Combiné;15;5;4;2;3.8;11;73.3
2018;Relève;H/F;Slalom;34;10;8;3;4.2;21;61.8
2018;Relève;H/F;Figures;29;10;8;3;3.6;21;72.4
2018;Relève;H/F;Saut;26;10;8;6;3.2;20;76.9
2018;Relève;H/F;Combiné;23;10;7;5;3.3;19;82.6
2018;U21 / Open;F;Slalom;10;2;2;0;5.0;6;60.0
2018;U21 / Open;F;Figures;7;2;2;1;3.5;5;71.4
2018;U21 / Open;F;Saut;5;2;2;2;2.5;5;100.0
2018;U21 / Open;F;Combiné;5;2;2;2;2.5;5;100.0
2018;U21 / Open;H;Slalom;9;2;2;0;4.5;6;66.7
2018;U21 / Open;H;Figures;4;2;2;2;2.0;4;100.0
2018;U21 / Open;H;Saut;4;2;2;2;2.0;4;100.0
2018;U21 / Open;H;Combiné;2;2;2;2;1.0;2;100.0
2018;U21 / Open;H/F;Slalom;19;4;4;0;4.8;12;63.2
2018;U21 / Open;H/F;Figures;11;4;4;3;2.8;9;81.8
2018;U21 / Open;H/F;Saut;9;4;4;4;2.2;9;100.0
2018;U21 / Open;H/F;Combiné;7;4;4;4;1.8;7;100.0
2018;Seniors;F;Slalom;5;6;3;3;1.7;5;100.0
2018;Seniors;F;Figures;3;6;2;2;1.5;3;100.0
2018;Seniors;F;Saut;0;6;0;0;;0;
2018;Seniors;F;Combiné;0;6;0;0;;0;
2018;Seniors;H;Slalom;33;6;4;1;8.2;12;36.4
