annee;categorie;sexe;epreuve;participants;part_theorique_podium_pct
2017;U8;Femmes;Slalom;0;
2017;U8;Femmes;Figures;0;
2017;U8;Femmes;Saut;0;
2017;U8;Femmes;Combiné;0;
2017;U8;Hommes;Slalom;0;
2017;U8;Hommes;Figures;0;
2017;U8;Hommes;Saut;0;
2017;U8;Hommes;Combiné;0;
2017;U10;Femmes;Slalom;1;100.0
2017;U10;Femmes;Figures;1;100.0
2017;U10;Femmes;Saut;0;
2017;U10;Femmes;Combiné;0;
2017;U10;Hommes;Slalom;7;42.9
2017;U10;Hommes;Figures;6;50.0
2017;U10;Hommes;Saut;5;60.0
2017;U10;Hommes;Combiné;5;60.0
2017;U12;Femmes;Slalom;2;100.0
2017;U12;Femmes;Figures;2;100.0
2017;U12;Femmes;Saut;0;
2017;U12;Femmes;Combiné;0;
2017;U12;Hommes;Slalom;4;75.0
2017;U12;Hommes;Figures;3;100.0
2017;U12;Hommes;Saut;2;100.0
2017;U12;Hommes;Combiné;2;100.0
2017;U14;Femmes;Slalom;6;50.0
2017;U14;Femmes;Figures;4;75.0
2017;U14;Femmes;Saut;4;75.0
2017;U14;Femmes;Combiné;4;75.0
2017;U14;Hommes;Slalom;7;42.9
2017;U14;Hommes;Figures;5;60.0
2017;U14;Hommes;Saut;5;60.0
2017;U14;Hommes;Combiné;5;60.0
2017;U17;Femmes;Slalom;6;50.0
2017;U17;Femmes;Figures;5;60.0
2017;U17;Femmes;Saut;3;100.0
2017;U17;Femmes;Combiné;3;100.0
2017;U17;Hommes;Slalom;15;20.0
2017;U17;Hommes;Figures;8;37.5
2017;U17;Hommes;Saut;8;37.5
2017;U17;Hommes;Combiné;6;50.0
2017;U21;Femmes;Slalom;0;
2017;U21;Femmes;Figures;0;
2017;U21;Femmes;Saut;0;
2017;U21;Femmes;Combiné;0;
2017;U21;Hommes;Slalom;0;
2017;U21;Hommes;Figures;0;
2017;U21;Hommes;Saut;0;
2017;U21;Hommes;Combiné;0;
2017;OPEN;Femmes;Slalom;13;23.1
2017;OPEN;Femmes;Figures;8;37.5
2017;OPEN;Femmes;Saut;6;50.0
2017;OPEN;Femmes;Combiné;6;50.0
2017;OPEN;Hommes;Slalom;12;25.0
2017;OPEN;Hommes;Figures;7;42.9
2017;OPEN;Hommes;Saut;5;60.0
2017;OPEN;Hommes;Combiné;5;60.0
2017;35+;Femmes;Slalom;1;100.0
2017;35+;Femmes;Figures;1;100.0
2017;35+;Femmes;Saut;1;100.0
2017;35+;Femmes;Combiné;1;100.0
2017;35+;Hommes;Slalom;5;60.0
2017;35+;Hommes;Figures;3;100.0
2017;35+;Hommes;Saut;2;100.0
2017;35+;Hommes;Combiné;2;100.0
2017;45+;Femmes;Slalom;3;100.0
2017;45+;Femmes;Figures;2;100.0
2017;45+;Femmes;Saut;1;100.0
2017;45+;Femmes;Combiné;1;100.0
2017;45+;Hommes;Slalom;8;37.5
2017;45+;Hommes;Figures;4;75.0
2017;45+;Hommes;Saut;3;100.0
2017;45+;Hommes;Combiné;3;100.0
2017;55+;Femmes;Slalom;1;100.0
2017;55+;Femmes;Figures;0;
2017;55+;Femmes;Saut;0;
2017;55+;Femmes;Combiné;0;
2017;55+;Hommes;Slalom;9;33.3
2017;55+;Hommes;Figures;3;100.0
2017;55+;Hommes;Saut;2;100.0
2017;55+;Hommes;Combiné;2;100.0
2017;65+;Femmes;Slalom;0;
2017;65+;Femmes;Figures;0;
2017;65+;Femmes;Saut;0;
2017;65+;Femmes;Combiné;0;
2017;65+;Hommes;Slalom;1;100.0
2017;65+;Hommes;Figures;1;100.0
2017;65+;Hommes;Saut;0;
2017;65+;Hommes;Combiné;0;
2017;70+;Femmes;Slalom;0;
2017;70+;Femmes;Figures;0;
2017;70+;Femmes;Saut;0;
2017;70+;Femmes;Combiné;0;
2017;70+;Hommes;Slalom;0;
2017;70+;Hommes;Figures;0;
2017;70+;Hommes;Saut;0;
2017;70+;Hommes;Combiné;0;
2017;75+;Femmes;Slalom;0;
2017;75+;Femmes;Figures;0;
2017;75+;Femmes;Saut;0;
2017;75+;Femmes;Combiné;0;
2017;75+;Hommes;Slalom;0;
2017;75+;Hommes;Figures;0;
2017;75+;Hommes;Saut;0;
2017;75+;Hommes;Combiné;0;
2018;U8;Femmes;Slalom;0;
2018;U8;Femmes;Figures;0;
2018;U8;Femmes;Saut;0;
2018;U8;Femmes;Combiné;0;
2018;U8;Hommes;Slalom;0;
2018;U8;Hommes;Figures;0;
2018;U8;Hommes;Saut;0;
2018;U8;Hommes;Combiné;0;
2018;U10;Femmes;Slalom;1;100.0
2018;U10;Femmes;Figures;1;100.0
2018;U10;Femmes;Saut;1;100.0
2018;U10;Femmes;Combiné;0;
2018;U10;Hommes;Slalom;2;100.0
2018;U10;Hommes;Figures;2;100.0
2018;U10;Hommes;Saut;2;100.0
2018;U10;Hommes;Combiné;2;100.0
2018;U12;Femmes;Slalom;4;75.0
2018;U12;Femmes;Figures;5;60.0
