Year;AthleteKey;Name;InExactOpenChampionshipCode;InBroadRegisterFlag;InAnyNationalLikeCompetition;BroadButNotExact
2023;FRA|1983|BARONI ALEXIS;BARONI Alexis;1;1;1;0
2023;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;1;1;1;0
2023;FRA|1989|BALLON PIERRE;BALLON Pierre;1;1;1;0
2023;FRA|1989|JAMIN ROLAND;JAMIN Roland;1;1;1;0
2023;FRA|1990|DAILLAND THIBAUT;DAILLAND Thibaut;1;1;1;0
2023;FRA|1991|COSTARD MANON;COSTARD Manon;1;1;1;0
2023;FRA|1991|MARTINI MARIE;MARTINI Marie;1;1;1;0
2023;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;1;1;1;0
2023;FRA|1992|FRAISSE ROMAIN;FRAISSE Romain;0;0;1;1
2023;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;1;1;1;0
2023;FRA|1994|PHILY LAURA;PHILY Laura;1;1;1;0
2023;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;1;1;1;0
2023;FRA|1995|GROISEAU AUDE;GROISEAU Aude;0;0;1;1
2023;FRA|1995|PANTIGNY LILYAN;PANTIGNY Lilyan;0;0;1;1
2023;FRA|1995|ROSSETTO TIMOTHEE;ROSSETTO Timothee;0;1;1;1
2023;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;1;1;1;0
2023;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;1;1;1;0
2023;FRA|1996|GRAS MARINE;GRAS Marine;0;0;1;1
2023;FRA|1999|MIERMONT LEA;MIERMONT Lea;1;1;1;0
2023;FRA|1999|MOULANIER MARIE-LOU;MOULANIER Marie-Lou;1;1;1;0
2023;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;1;1;1;0
2023;FRA|2000|NEDEAU TANGUY;NEDEAU Tanguy;1;1;1;0
2023;FRA|2001|CONSTANS LEA;CONSTANS Lea;0;0;1;1
2023;FRA|2001|MIQUEL AUDE;MIQUEL Aude;0;1;1;1
2023;FRA|2001|MOREL BENJAMIN;MOREL Benjamin;1;1;1;0
2023;FRA|2002|CONSTANS BASTIEN;CONSTANS Bastien;0;1;1;1
2024;FRA|1973|LE FORESTIER NICOLAS;LE FORESTIER Nicolas;1;1;1;0
2024;FRA|1986|PIEDNOEL ANTOINE;PIEDNOEL Antoine;0;0;1;1
2024;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;1;1;1;0
2024;FRA|1989|BALLON PIERRE;BALLON Pierre;1;1;1;0
2024;FRA|1989|JAMIN ROLAND;JAMIN Roland;0;0;1;1
2024;FRA|1991|BISCHOFBERGER MARION;BISCHOFBERGER Marion;0;0;1;1
2024;FRA|1991|COSTARD MANON;COSTARD Manon;1;1;1;0
2024;FRA|1991|JACQUIER ROMAIN;JACQUIER Romain;1;1;1;0
2024;FRA|1991|MARTINI MARIE;MARTINI Marie;1;1;1;0
2024;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;1;1;1;0
2024;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;1;1;1;0
2024;FRA|1994|PHILY LAURA;PHILY Laura;1;1;1;0
2024;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;1;1;1;0
2024;FRA|1995|GROISEAU AUDE;GROISEAU Aude;0;0;1;1
2024;FRA|1995|PANTIGNY LILYAN;PANTIGNY Lilyan;0;0;1;1
2024;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;1;1;1;0
2024;FRA|1998|BENZIDANE PATRICK;BENZIDANE Patrick;0;0;1;1
2024;FRA|1999|MIERMONT LEA;MIERMONT Lea;1;1;1;0
2024;FRA|2000|BORDIER LINDSAY;BORDIER Lindsay;0;0;1;1
2024;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;1;1;1;0
2024;FRA|2000|GERARD LORENZO;GERARD Lorenzo;0;0;1;1
2024;FRA|2000|ROUSSET BLANDINE;ROUSSET Blandine;0;0;1;1
2024;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;1;1;1;0
2024;FRA|2002|ANGUENOT INES;ANGUENOT Inès;1;1;1;0
2024;FRA|2002|CONSTANS BASTIEN;CONSTANS Bastien;0;0;1;1
2024;FRA|2002|CUSEY MARTIN;CUSEY Martin;0;0;1;1
2024;FRA|2002|POISSONNIER LOIC;POISSONNIER Loic;0;0;1;1
2024;FRA|2002|SONIER PERRINE;SONIER Perrine;1;1;1;0
2025;FRA|1964|DUPLAN GUILLAUME;DUPLAN Guillaume;1;1;1;0
2025;FRA|1965|LANCIEN ESCOLANO FLORENCE;LANCIEN ESCOLANO Florence;1;1;1;0
2025;FRA|1986|LAFORET THOMAS;LAFORET Thomas;1;1;1;0
2025;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;1;1;1;0
2025;FRA|1989|JAMIN ROLAND;JAMIN Roland;0;0;1;1
2025;FRA|1989|PASQUALINI AYMERIC;PASQUALINI Aymeric;0;0;1;1
2025;FRA|1991|BACQUIAS DAVID;BACQUIAS David;0;0;1;1
2025;FRA|1991|BISCHOFBERGER MARION;BISCHOFBERGER Marion;0;0;1;1
2025;FRA|1991|COSTARD MANON;COSTARD Manon;1;1;1;0
2025;FRA|1991|JACQUIER ROMAIN;JACQUIER Romain;0;0;1;1
2025;FRA|1991|MARTINI MARIE;MARTINI Marie;1;1;1;0
2025;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;1;1;1;0
2025;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;1;1;1;0
2025;FRA|1995|GROISEAU AUDE;GROISEAU Aude;0;0;1;1
2025;FRA|1995|PANTIGNY LILYAN;PANTIGNY Lilyan;0;0;1;1
2025;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;0;0;1;1
2025;FRA|1998|AILLOT MATHILDE;AILLOT Mathilde;0;0;1;1
2025;FRA|1998|BENZIDANE PATRICK;BENZIDANE Patrick;0;0;1;1
2025;FRA|1998|COUCHET MANON;COUCHET Manon;0;0;1;1
2025;FRA|1998|DION MAXIME;DION Maxime;0;0;1;1
2025;FRA|1999|CALEN JULIAN;CALEN Julian;0;0;1;1
2025;FRA|1999|MIERMONT LEA;MIERMONT Lea;1;1;1;0
2025;FRA|1999|THIELEN ANTHONY;THIELEN Anthony;0;0;1;1
2025;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;1;1;1;0
2025;FRA|2002|ANGUENOT INES;ANGUENOT Inès;1;1;1;0
2025;FRA|2002|SONIER PERRINE;SONIER Perrine;1;1;1;0
2025;FRA|2003|COUCHET CLEMENT;COUCHET Clément;0;0;1;1
2025;FRA|2003|DUPLAN FRIBOURG POL;DUPLAN FRIBOURG Pol;1;1;1;0
2025;FRA|2003|PAGET MARIE;PAGET Marie;0;0;1;1
2025;FRA|2005|ESTANOL DAVID;ESTANOL David;0;0;1;1
2025;FRA|2007|DUVERGER MARIE-LOU;DUVERGER Marie-Lou;1;1;1;0
