Year;CompetitionCode;Status;MatchType;Similarity;DBRiderId;DBName;DBYOB;DBCategory;EMSAthleteKey;EMSName;EMSYOB;EMSCountry;EMSCategory
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;2;Illana Bischofberger;1996;Open;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;1996;FRA;Open F (27)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;3;Oscar Bischofberger;1994;Open;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;1994;FRA;Open M (29)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;5;Sacha Descuns;1992;Open;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;1992;FRA;Open M (31)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;15;Lea Miermont;1999;Open;FRA|1999|MIERMONT LEA;MIERMONT Lea;1999;FRA;Open F (24)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;18;Laura Phily;1994;Open;FRA|1994|PHILY LAURA;PHILY Laura;1994;FRA;Open F (29)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;115;Manon Costard;1991;Open;FRA|1991|COSTARD MANON;COSTARD Manon;1991;FRA;Open F (32)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;125;Marie Martini;1991;Open;FRA|1991|MARTINI MARIE;MARTINI Marie;1991;FRA;Open F (32)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;132;Claire-Lise Welter;1987;Open;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;1987;FRA;Open F (36)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;352;Pierre Ballon;1989;Open;FRA|1989|BALLON PIERRE;BALLON Pierre;1989;FRA;Open M (34)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;358;Sacha Dauzonne;1995;Open;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;1995;FRA;Open M (28)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;359;Louis Duplan-Fribourg;2000;Open;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;2000;FRA;Open M (23)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;380;Alexis Baroni;1983;Open;FRA|1983|BARONI ALEXIS;BARONI Alexis;1983;FRA;Open M (40)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;381;Ghalia Belmrah;2000;Open;MAR|2000|BELMRAH GHALIA;BELMRAH Ghalia;2000;MAR;Open F (23)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;387;Wiese Maria Delfina Cuglievan;1991;Open;PER|1991|CUGLIEVAN WIESE MARIA DELFINA;CUGLIEVAN WIESE María Delfina;1991;PER;Open F (32)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;388;Tanguy Dailland;1996;Open;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;1996;FRA;Open M (27)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;389;Thibaut Dailland;1990;Open;FRA|1990|DAILLAND THIBAUT;DAILLAND Thibaut;1990;FRA;Open M (33)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;394;Charlie Emmett;2000;Open;GBR|2000|EMMETT CHARLIE;EMMETT Charlie;2000;GBR;Open M (23)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;397;Roland Jamin;1989;Open;FRA|1989|JAMIN ROLAND;JAMIN Roland;1989;FRA;Open M (34)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;401;Benjamin Morel;2001;Open;FRA|2001|MOREL BENJAMIN;MOREL Benjamin;2001;FRA;Open M (22)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;403;Marie-Lou Moulanier;1999;Open;FRA|1999|MOULANIER MARIE-LOU;MOULANIER Marie-Lou;1999;FRA;Open F (24)
2023;23FRA018;MATCH;SAC_MOTS_ET_YOB;1.0;404;Tanguy Nedeau;2000;Open;FRA|2000|NEDEAU TANGUY;NEDEAU Tanguy;2000;FRA;Open M (23)
2024;24FRA027;MATCH;SAC_MOTS_ET_YOB;1.0;2;Illana Bischofberger;1996;Open;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;1996;FRA;Open F (28)
