Year;CompetitionCode;AthleteKey;Name;Country;IsFrench
2023;23FRA018;FRA|1983|BARONI ALEXIS;BARONI Alexis;FRA;1
2023;23FRA018;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;FRA;1
2023;23FRA018;FRA|1989|BALLON PIERRE;BALLON Pierre;FRA;1
2023;23FRA018;FRA|1989|JAMIN ROLAND;JAMIN Roland;FRA;1
2023;23FRA018;FRA|1990|DAILLAND THIBAUT;DAILLAND Thibaut;FRA;1
2023;23FRA018;FRA|1991|COSTARD MANON;COSTARD Manon;FRA;1
2023;23FRA018;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1
2023;23FRA018;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;FRA;1
2023;23FRA018;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1
2023;23FRA018;FRA|1994|PHILY LAURA;PHILY Laura;FRA;1
2023;23FRA018;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;FRA;1
2023;23FRA018;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;FRA;1
2023;23FRA018;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;FRA;1
2023;23FRA018;FRA|1999|MIERMONT LEA;MIERMONT Lea;FRA;1
2023;23FRA018;FRA|1999|MOULANIER MARIE-LOU;MOULANIER Marie-Lou;FRA;1
2023;23FRA018;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;FRA;1
2023;23FRA018;FRA|2000|NEDEAU TANGUY;NEDEAU Tanguy;FRA;1
2023;23FRA018;FRA|2001|MOREL BENJAMIN;MOREL Benjamin;FRA;1
2023;23FRA018;GBR|2000|EMMETT CHARLIE;EMMETT Charlie;GBR;0
2023;23FRA018;MAR|2000|BELMRAH GHALIA;BELMRAH Ghalia;MAR;0
2023;23FRA018;PER|1991|CUGLIEVAN WIESE MARIA DELFINA;CUGLIEVAN WIESE María Delfina;PER;0
2024;24FRA027;ESP|2001|BARJAU BOADA CLAUDIA;BARJAU BOADA Claudia;ESP;0
2024;24FRA027;FRA|1973|LE FORESTIER NICOLAS;LE FORESTIER Nicolas;FRA;1
2024;24FRA027;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;FRA;1
2024;24FRA027;FRA|1989|BALLON PIERRE;BALLON Pierre;FRA;1
2024;24FRA027;FRA|1991|COSTARD MANON;COSTARD Manon;FRA;1
2024;24FRA027;FRA|1991|JACQUIER ROMAIN;JACQUIER Romain;FRA;1
2024;24FRA027;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1
2024;24FRA027;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;FRA;1
2024;24FRA027;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1
2024;24FRA027;FRA|1994|PHILY LAURA;PHILY Laura;FRA;1
2024;24FRA027;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;FRA;1
2024;24FRA027;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;FRA;1
2024;24FRA027;FRA|1999|MIERMONT LEA;MIERMONT Lea;FRA;1
2024;24FRA027;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;FRA;1
2024;24FRA027;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;FRA;1
2024;24FRA027;FRA|2002|ANGUENOT INES;ANGUENOT Inès;FRA;1
2024;24FRA027;FRA|2002|SONIER PERRINE;SONIER Perrine;FRA;1
2024;24FRA027;MAR|2004|BELMRAH KAMIL;BELMRAH Kamil;MAR;0
2025;25FRA206;FRA|1964|DUPLAN GUILLAUME;DUPLAN Guillaume;FRA;1
2025;25FRA206;FRA|1965|LANCIEN ESCOLANO FLORENCE;LANCIEN ESCOLANO Florence;FRA;1
2025;25FRA206;FRA|1986|LAFORET THOMAS;LAFORET Thomas;FRA;1
2025;25FRA206;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;FRA;1
2025;25FRA206;FRA|1991|COSTARD MANON;COSTARD Manon;FRA;1
2025;25FRA206;FRA|1991|MARTINI MARIE;MARTINI Marie;FRA;1
2025;25FRA206;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;FRA;1
2025;25FRA206;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1
2025;25FRA206;FRA|1999|MIERMONT LEA;MIERMONT Lea;FRA;1
2025;25FRA206;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;FRA;1
2025;25FRA206;FRA|2002|ANGUENOT INES;ANGUENOT Inès;FRA;1
2025;25FRA206;FRA|2002|SONIER PERRINE;SONIER Perrine;FRA;1
2025;25FRA206;FRA|2003|DUPLAN FRIBOURG POL;DUPLAN FRIBOURG Pol;FRA;1
2025;25FRA206;FRA|2007|DUVERGER MARIE-LOU;DUVERGER Marie-Lou;FRA;1
