Year;CompetitionCode;CompetitionName;IdentityKey;SkierId;Name;CategoryRaw;SourceFile
2018;18FRA010;Championnats de France Relèves 2018;IWWF:11408;11408;Bordier Lindsay;-21 M;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:11038;11038;Brunel Emma;-21 F;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:20738;20738;Caux Valentin;-21 M;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:17758;17758;Couchet Manon;-21 F;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:15163;15163;Creissels Rosalie;-21 F;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:13878;13878;Desgrippes Hugo;-21 M;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:10517;10517;Miermont Lea;-21 F;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:13690;13690;Moulanier Marie-Lou;-21 F;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:16503;16503;Ndeau Tanguy;-21 M;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
2018;18FRA010;Championnats de France Relèves 2018;IWWF:11348;11348;Vigezzi Enzo;-21 M;C:\Users\jgodet\Documents\observatoire-ffsnw\data\raw\iwwf\18FRA010\all_skiers_list.html
