CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;FrenchAthletesAll;FrenchTargetAthletes;FrenchU17;FrenchU21;FrenchOpen;FrenchSenior;OpenSharePercent;SeniorSharePercent;AnalyticalProfile
25FRA206;12-13 Jul 2025;Championnat de France U21 + OPEN;NatCH;R;Ski nautique M...;27;23;0;9;14;4;51.9;14.8;CENTREE_OPEN
25FRA217;6-7 Sep 2025;New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat;INTER;L;Lacanau Ski Cl...;34;17;6;3;8;14;23.5;41.2;U21_OPEN_SIGNIFICATIF
25FRA005;5-6 Jul 2025;MALIBU OPEN;INTER;L;Lacanau Ski Cl...;25;12;2;2;8;13;32.0;52.0;DOMINANTE_SENIOR
25FRA008;31 May - 1 Jun 2025;Magic Cup;INTER;L;Nemours Grez/l...;10;8;0;0;8;2;80.0;20.0;CENTREE_OPEN
25FRA006;13-14 Sep 2025;LACANAU SKI CLASSIC;INTER;L;Lacanau Ski Cl...;27;11;0;4;7;15;25.9;55.6;DOMINANTE_SENIOR
25FRA031;2-3 Aug 2025;BAURECH 3 EVENTS- RL 3 RDS/ Events;INTER;L;Windsor Ski Cl...;21;10;2;1;7;10;33.3;47.6;U21_OPEN_SIGNIFICATIF
25FRA030;14-15 Jun 2025;BAURECH Slalom CUP / 4 RDS;INTER;L;Windsor Ski Cl...;26;8;1;0;7;17;26.9;65.4;DOMINANTE_SENIOR
25FRA019;2-3 Aug 2025;Championnats du mont de Laroche;INTER;L;Association Sp...;20;10;1;3;6;10;30.0;50.0;U21_OPEN_SIGNIFICATIF
25FRA010;26-27 Jul 2025;Magic Challenge;INTER;L;Nemours Grez/l...;14;8;1;2;5;6;35.7;42.9;U21_OPEN_SIGNIFICATIF
25FRA032;11-12 Oct 2025;BAURECH SLALOM SERIES 4RD;INTER;L;Windsor Ski Cl...;18;8;1;2;5;9;27.8;50.0;DOMINANTE_SENIOR
25FRA028;23-24 Aug 2025;Austin's Cup 25;INTER;L;Ski Nautique C...;12;9;3;2;4;1;33.3;8.3;U21_OPEN_SIGNIFICATIF
25FRA001;21-22 Jun 2025;THE FUNGLISS PRO AM;INTER;R;FUNGLISS DOMMA...;17;7;2;1;4;8;23.5;47.1;U21_OPEN_SIGNIFICATIF
25FRA009;27-28 Sep 2025;Magic Ski Time;INTER;L;Nemours Grez/l...;18;6;1;1;4;12;22.2;66.7;DOMINANTE_SENIOR
25FRA013;28-29 Jun 2025;LE PLAN D'EAU 3D 1/2 30ème anniversaire;INTER;L;Club Omnisport...;17;6;2;0;4;10;23.5;58.8;DOMINANTE_SENIOR
25FRA002;20-21 Sep 2025;Viry Lake's challenge #7;INTER;L;Club Nautique ...;21;8;3;2;3;13;14.3;61.9;DOMINANTE_SENIOR
25FRA014;4-5 Oct 2025;LE PLAN D'EAU 3D 2/2 30ème anniversaire;INTER;L;Club Omnisport...;17;8;3;2;3;9;17.6;52.9;DOMINANTE_SENIOR
25FRA025;13-14 Sep 2025;Legends of Ezylake;INTER;L;Ezylake;19;9;4;2;3;10;15.8;52.6;DOMINANTE_SENIOR
25FRA027;5-6 Jul 2025;Vinney's Cup 25;INTER;L;Ski Nautique C...;10;6;1;2;3;2;30.0;20.0;U21_OPEN_SIGNIFICATIF
25FRA029;20-21 Sep 2025;Jano's Cup 25;INTER;L;Ski Nautique C...;7;6;1;2;3;0;42.9;0.0;U21_OPEN_SIGNIFICATIF
25FRA022;4 Jul 2025;Aquacup (2+1);INTER;L;Aqu'Aventure;13;4;0;1;3;9;23.1;69.2;DOMINANTE_SENIOR
25FRA021;7-8 Jun 2025;Ezylake's cup;INTER;L;Ezylake;10;4;1;0;3;6;30.0;60.0;DOMINANTE_SENIOR
25FRA037;13-14 Sep 2025;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;L;Club Nautique ...;17;6;3;0;3;7;17.6;41.2;FILIERE_CIBLE_FAIBLE
25FRA026;30-31 Aug 2025;Coupe du pays de Montbeliard- Championnat Ligue BFC;INTER;L;Ski nautique M...;15;4;1;1;2;10;13.3;66.7;DOMINANTE_SENIOR
25FRA208;3-4 Oct 2025;Championnat de Ligue AURA 2025;INTER;L;Ski Caraibes A...;19;5;3;0;2;11;10.5;57.9;DOMINANTE_SENIOR
25FRA011;28-29 Jun 2025;Le Trophée d'Arc;INTER;L;Club Arc Dijon...;22;4;1;2;1;18;4.5;81.8;DOMINANTE_SENIOR
25FRA016;10-11 Jul 2025;Championnat de France RELEVES 2025;NatCH;L;Ski nautique M...;22;9;9;0;0;0;0.0;0.0;FILIERE_CIBLE_FAIBLE
25FRA018;19-20 Jul 2025;Championnat de France SENIOR 2025;NatCH;L;Ski Club Nauti...;32;0;0;0;0;32;0.0;100.0;SENIOR_SANS_FILIERE_CIBLE
25FRA023;14-15 Jun 2025;Tours 3D Event - Championnat de ligue CVL;INTER;L;Touraine Ski ...;20;4;4;0;0;14;0.0;70.0;DOMINANTE_SENIOR
25FRA024;23-24 Aug 2025;Biggie's International + senior tour stop 4;INTER;L;Ezylake;11;1;1;0;0;10;0.0;90.9;DOMINANTE_SENIOR
