CanonicalRiderId;Name;Sex;YOB;U21Years;LastU21Year;FirstOpenYearOnOrAfterLastU21;DelayU21ToOpenYears;AvailableFollowUpYears;ConvertedWithin1Year;ConvertedWithin2Years;ConvertedWithin3Years;Outcome
1;Ins Anguenot;F;2002;2020 | 2021 | 2023;2023;2024;1;3;1;1;1;OPEN_SOUS_1_AN
6;Sbastien Fautrel;M;2005;2025 | 2026;2026;;;0;0;0;0;CENSURE_DROITE
7;Axel Garcia;M;2008;2026;2026;;;0;0;0;0;CENSURE_DROITE
8;Matto Georges;M;2008;2023 | 2026;2026;;;0;0;0;0;CENSURE_DROITE
9;Pierre Louis Germain;M;2007;2023 | 2025 | 2026;2026;;;0;0;0;0;CENSURE_DROITE
10;Gaspard Gilg;M;2008;2026;2026;;;0;0;0;0;CENSURE_DROITE
11;Clarens Lavau;M;2005;2023 | 2025 | 2026;2026;;;0;0;0;0;CENSURE_DROITE
12;Forestier Maelys Le;F;2010;2024 | 2026;2026;;;0;0;0;0;CENSURE_DROITE
15;Lea Miermont;F;1999;2018 | 2019 | 2020;2020;2020;0;6;1;1;1;OPEN_MEME_ANNEE
17;Marie Paget;F;2003;2021 | 2022 | 2023 | 2024;2024;2026;2;2;0;1;1;OPEN_SOUS_2_ANS
19;Gaiane Rousseau;F;2009;2026;2026;;;0;0;0;0;CENSURE_DROITE
20;Nicolas Rousselot;M;2001;2019 | 2020;2020;2022;2;6;0;1;1;OPEN_SOUS_2_ANS
21;Perrine Sonier;F;2002;2020 | 2021 | 2023;2023;2024;1;3;1;1;1;OPEN_SOUS_1_AN
22;Benjamin Souci;M;2005;2023 | 2024 | 2025 | 2026;2026;;;0;0;0;0;CENSURE_DROITE
112;Kamil Belmrah;M;2004;2023 | 2025;2025;;;1;0;0;0;CENSURE_DROITE
114;Emmie Chedal;F;2006;2025;2025;;;1;0;0;0;CENSURE_DROITE
118;Fribourg Tristan Duplan;M;2007;2023 | 2025;2025;;;1;0;0;0;CENSURE_DROITE
119;Marie-Lou Duverger;F;2007;2024 | 2025;2025;;;1;0;0;0;CENSURE_DROITE
127;Antoine Morin;M;2004;2023 | 2024 | 2025;2025;;;1;0;0;0;CENSURE_DROITE
128;Hugo Notat;M;2004;2023 | 2024 | 2025;2025;;;1;0;0;0;CENSURE_DROITE
243;Andrea Vermot-Gaud;F;2007;2025;2025;;;1;0;0;0;CENSURE_DROITE
349;Arthur Amblard;M;2002;2020 | 2021 | 2023;2023;2024;1;3;1;1;1;OPEN_SOUS_1_AN
351;Africa Arango;F;2005;2024;2024;;;2;0;0;0;CENSURE_DROITE
359;Louis Duplan-Fribourg;M;2000;2020;2020;2022;2;6;0;1;1;OPEN_SOUS_2_ANS
370;Vicandi Carla Prats;F;2006;2024;2024;;;2;0;0;0;CENSURE_DROITE
371;Vicandi Sofia Prats;F;2004;2024;2024;;;2;0;0;0;CENSURE_DROITE
383;Ty Bigourdan;M;2006;2023;2023;;;3;0;0;0;SANS_OPEN_OBSERVE_3_ANS
401;Benjamin Morel;M;2001;2019 | 2021;2021;2022;1;5;1;1;1;OPEN_SOUS_1_AN
403;Marie-Lou Moulanier;F;1999;2018 | 2019;2019;2021;2;7;0;1;1;OPEN_SOUS_2_ANS
404;Tanguy Nedeau;M;2000;2020 | 2021;2021;2023;2;5;0;1;1;OPEN_SOUS_2_ANS
