Year;ChampionshipBlock;ApprovedFrenchAthletes;ClassifiedFrenchAthletes;ApprovedFrenchFieldEntries;ClassifiedFrenchFieldEntries;EntryDifference;EntryCoveragePercent;ApprovedFields;ClassifiedFields;SharedFields;EmsOnlyFields;ResultsOnlyFields;QualityStatus
2023;RELEVES;23;23;63;63;0;100.0;27;27;27;0;0;EXACT
2023;SENIOR;42;40;77;68;-9;88.3;26;26;26;0;0;REVIEW
2023;U21_OPEN;31;30;73;69;-4;94.5;16;16;16;0;0;REVIEW
2024;RELEVES;21;21;63;63;0;100.0;22;22;22;0;0;EXACT
2024;SENIOR;40;40;84;80;-4;95.2;29;25;25;4;0;REVIEW
2024;U21_OPEN;22;20;46;44;-2;95.7;16;16;16;0;0;CLOSE
2025;RELEVES;22;22;64;63;-1;98.4;27;26;26;1;0;CLOSE
2025;SENIOR;32;32;70;70;0;100.0;24;24;24;0;0;EXACT
2025;U21_OPEN;23;14;58;25;-33;43.1;16;7;7;9;0;RESULTS_INCOMPLETE_SUSPECTED
2026;RELEVES;33;33;77;77;0;100.0;31;31;31;0;0;EXACT
2026;SENIOR;14;14;15;15;0;100.0;8;8;8;0;0;EXACT
2026;U21_OPEN;19;19;45;44;-1;97.8;13;13;13;0;0;CLOSE
