Year;CompetitionCode;ChampionshipBlock;PopulationGroup;Category;Sex;Event;ApprovedFrench;ClassifiedFrench;DifferenceClassifiedMinusApproved;ClassificationCoveragePercent;Status
2023;23FRA017;RELEVES;JUNIOR;U17;F;COMBINE;1;1;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;F;FIGURES;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;F;SAUT;1;1;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;F;SLALOM;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;M;COMBINE;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;M;FIGURES;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;M;SAUT;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;JUNIOR;U17;M;SLALOM;6;6;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U10;F;SLALOM;1;1;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U10;M;FIGURES;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U10;M;SLALOM;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;F;COMBINE;1;1;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;F;FIGURES;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;F;SAUT;1;1;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;F;SLALOM;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;M;COMBINE;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;M;FIGURES;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;M;SAUT;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U12;M;SLALOM;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;F;COMBINE;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;F;FIGURES;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;F;SAUT;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;F;SLALOM;4;4;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;M;COMBINE;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;M;FIGURES;3;3;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;M;SAUT;2;2;0;100.0;MATCH
2023;23FRA017;RELEVES;RELEVES;U14;M;SLALOM;3;3;0;100.0;MATCH
2023;23FRA018;U21_OPEN;OPEN;OPEN;F;COMBINE;2;2;0;100.0;MATCH
2023;23FRA018;U21_OPEN;OPEN;OPEN;F;FIGURES;4;4;0;100.0;MATCH
2023;23FRA018;U21_OPEN;OPEN;OPEN;F;SAUT;2;2;0;100.0;MATCH
2023;23FRA018;U21_OPEN;OPEN;OPEN;F;SLALOM;6;6;0;100.0;MATCH
2023;23FRA018;U21_OPEN;OPEN;OPEN;M;COMBINE;3;2;-1;66.7;CLASSIFIED_LOWER
2023;23FRA018;U21_OPEN;OPEN;OPEN;M;FIGURES;5;4;-1;80.0;CLASSIFIED_LOWER
2023;23FRA018;U21_OPEN;OPEN;OPEN;M;SAUT;4;3;-1;75.0;CLASSIFIED_LOWER
2023;23FRA018;U21_OPEN;OPEN;OPEN;M;SLALOM;10;9;-1;90.0;CLASSIFIED_LOWER
2023;23FRA018;U21_OPEN;U21;U21;F;COMBINE;4;4;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;F;FIGURES;4;4;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;F;SAUT;4;4;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;F;SLALOM;4;4;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;M;COMBINE;3;3;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;M;FIGURES;4;4;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;M;SAUT;6;6;0;100.0;MATCH
2023;23FRA018;U21_OPEN;U21;U21;M;SLALOM;8;8;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;35+;F;FIGURES;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;35+;F;SLALOM;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;35+;M;COMBINE;5;4;-1;80.0;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;35+;M;FIGURES;6;5;-1;83.3;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;35+;M;SAUT;5;4;-1;80.0;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;35+;M;SLALOM;7;7;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;45+;F;FIGURES;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;45+;F;SLALOM;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;45+;M;COMBINE;2;1;-1;50.0;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;45+;M;FIGURES;2;2;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;45+;M;SAUT;3;2;-1;66.7;CLASSIFIED_LOWER
2023;23FRA023;SENIOR;SENIOR;45+;M;SLALOM;10;10;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;55+;F;COMBINE;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;55+;F;FIGURES;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;55+;F;SAUT;1;1;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;55+;F;SLALOM;5;5;0;100.0;MATCH
2023;23FRA023;SENIOR;SENIOR;55+;M;COMBINE;2;1;-1;50.0;CLASSIFIED_LOWER
