Year;CompetitionCode;ChampionshipBlock;Sex;Event;CanonicalAthleteKey;Status;DataQuality;EmsPopulationGroup;ResultPopulationGroup;EmsCategory;ResultCategory;EmsName;ResultName
2023;23FRA017;RELEVES;M;FIGURES;FRA|2014|GILG MARTIN;MATCH;USABLE;RELEVES;RELEVES;U10;U10;GILG Martin;Gilg Martin
2023;23FRA017;RELEVES;M;SLALOM;FRA|2014|GILG MARTIN;MATCH;USABLE;RELEVES;RELEVES;U10;U10;GILG Martin;Gilg Martin
2023;23FRA017;RELEVES;F;SLALOM;FRA|2013|LACARRAU JULIA;MATCH;USABLE;RELEVES;RELEVES;U10;U10;LACARRAU Julia;Lacarrau Julia
2023;23FRA017;RELEVES;M;FIGURES;FRA|2013|MAUMY EMIL;MATCH;USABLE;RELEVES;RELEVES;U10;U10;MAUMY Emil;Maumy Emil
2023;23FRA017;RELEVES;M;SLALOM;FRA|2013|MAUMY EMIL;MATCH;USABLE;RELEVES;RELEVES;U10;U10;MAUMY Emil;Maumy Emil
2023;23FRA017;RELEVES;M;COMBINE;FRA|2011|CONTE LUBIN;MATCH;USABLE;RELEVES;RELEVES;U12;U12;CONTE Lubin;Conte Lubin
2023;23FRA017;RELEVES;M;FIGURES;FRA|2011|CONTE LUBIN;MATCH;USABLE;RELEVES;RELEVES;U12;U12;CONTE Lubin;Conte Lubin
2023;23FRA017;RELEVES;M;SAUT;FRA|2011|CONTE LUBIN;MATCH;USABLE;RELEVES;RELEVES;U12;U12;CONTE Lubin;Conte Lubin
2023;23FRA017;RELEVES;M;SLALOM;FRA|2011|CONTE LUBIN;MATCH;USABLE;RELEVES;RELEVES;U12;U12;CONTE Lubin;Conte Lubin
2023;23FRA017;RELEVES;F;FIGURES;FRA|2011|CORTES LILOU;MATCH;USABLE;RELEVES;RELEVES;U12;U12;CORTES Lilou;Cortes Lilou
2023;23FRA017;RELEVES;F;SLALOM;FRA|2011|CORTES LILOU;MATCH;USABLE;RELEVES;RELEVES;U12;U12;CORTES Lilou;Cortes Lilou
2023;23FRA017;RELEVES;F;COMBINE;FRA|2011|NAEL TESSA;MATCH;USABLE;RELEVES;RELEVES;U12;U12;NAEL Tessa;Nael Tessa
2023;23FRA017;RELEVES;F;FIGURES;FRA|2011|NAEL TESSA;MATCH;USABLE;RELEVES;RELEVES;U12;U12;NAEL Tessa;Nael Tessa
2023;23FRA017;RELEVES;F;SAUT;FRA|2011|NAEL TESSA;MATCH;USABLE;RELEVES;RELEVES;U12;U12;NAEL Tessa;Nael Tessa
2023;23FRA017;RELEVES;F;SLALOM;FRA|2011|NAEL TESSA;MATCH;USABLE;RELEVES;RELEVES;U12;U12;NAEL Tessa;Nael Tessa
