CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;FrenchOpenAthletes;OpenEntrants2024Present;Entrants2024RetainedOpen2025;ObservedRetentionPercent;EntrantNames
24FRA018;6-7 Jul 2024;LACANAU SKI CLASSIC 3D;INTER;L;Lacanau Ski Cl...;10;4;3;75.0;ANGUENOT Inès | JACQUIER Romain | METIVIER Eudes | SONIER Perrine
24FRA027;16-17 Jul 2024;Championnat de France U21 + OPEN;NatCH;R;Ski Nautique C...;16;4;3;75.0;ANGUENOT Inès | JACQUIER Romain | LE FORESTIER Nicolas | SONIER Perrine
24FRA016;2-4 Aug 2024;Coupe de Meuzac;INTER;L;BEACH SKI ACAD...;8;3;2;66.7;AMBLARD Arthur | ANGUENOT Inès | SONIER Perrine
24FRA013;27-28 Jul 2024;Championnats de ligue BFC;NAT;L;Association Sp...;5;3;1;33.3;BENZIDANE Patrick | CUSEY Martin | POISSONNIER Loic
24FRA019;2 Jun 2024;PITROT 1 DAY;INTER;L;Lacanau Ski Cl...;5;3;1;33.3;AMBLARD Arthur | METIVIER Eudes | SONIER Perrine
24FRA003;26-27 Oct 2024;Frozen Magic JG;INTER;L;Nemours Grez/l...;6;2;2;100.0;DELVAQUE Constantin | DELVAQUE Jean-Gabriel
24FRA031;31 Aug - 1 Sep 2024;Magic Trophy;INTER;L;Nemours Grez/l...;7;2;2;100.0;DELVAQUE Constantin | DELVAQUE Jean-Gabriel
24FRA008;27-28 Jul 2024;Grand Prix de Marcillac - Championnat de Ligue NAQUA;INTER;L;Ski Club Nauti...;6;2;1;50.0;ANGUENOT Inès | BORDIER Lindsay
24FRA012;7-8 Sep 2024;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;L;Club Nautique ...;2;2;1;50.0;BISCHOFBERGER Marion | GERARD Lorenzo
24FRA005;29-30 Jun 2024;LE PLAN D'EAU 3D JUIN;INTER;L;Club Omnisport...;6;1;1;100.0;SONIER Perrine
24FRA009;15-16 Jun 2024;BORDEAUX SLALOM CUP;INTER;L;Ski Nautique C...;6;1;1;100.0;SONIER Perrine
24FRA030;27-28 Jul 2024;Magic Ski Time;INTER;L;Nemours Grez/l...;5;1;1;100.0;DELVAQUE Jean-Gabriel
24FRA036;8-9 Jun 2024;Magic Challenge;INTER;L;Nemours Grez/l...;5;1;1;100.0;DELVAQUE Jean-Gabriel
24FRA039;5-6 Oct 2024;LE PLAN D'EAU 3D;INTER;L;Club Omnisport...;4;1;1;100.0;SONIER Perrine
24FRA017;31 Aug - 1 Sep 2024;Coupe du pays de Montbéliard;INTER;L;Ski nautique M...;2;1;0;0.0;CUSEY Martin
24FRA024;17-18 Aug 2024;Austin's Cup 24;INTER;L;Ski Nautique C...;3;1;0;0.0;BORDIER Lindsay
