CanonicalRiderId;Name;Sex;YOB;LastOpenYear;SeniorEligibilityYear35Plus;FirstObservableSeniorYearAfterOpen;AvailableFollowUpSeasons;FirstSeniorYearAfterLastOpen;TransitionInFirstObservableSeason;TransitionWithin2ObservableSeasons;TransitionWithin3ObservableSeasons;ObservedEventuallyBy2026;InvalidSeniorBeforeRiskStart
1;Ins Anguenot;F;2002;2026;2037;2037;0;;;;;0;0
2;Illana Bischofberger;F;1996;2026;2031;2031;0;;;;;0;0
3;Oscar Bischofberger;M;1994;2026;2029;2029;0;;;;;0;0
4;Arnaud Cabaret;M;1992;2026;2027;2027;0;;;;;0;0
5;Sacha Descuns;M;1992;2026;2027;2027;0;;;;;0;0
6;Sbastien Fautrel;M;2005;2022;2040;2040;0;;;;;0;0
13;Cecile Marchevet;F;1971;2026;2006;2027;0;;;;;0;0
15;Lea Miermont;F;1999;2026;2034;2034;0;;;;;0;0
16;Lucas Oubelaid;M;2003;2026;2038;2038;0;;;;;0;0
17;Marie Paget;F;2003;2026;2038;2038;0;;;;;0;0
18;Laura Phily;F;1994;2026;2029;2029;0;;;;;0;0
20;Nicolas Rousselot;M;2001;2026;2036;2036;0;;;;;0;0
21;Perrine Sonier;F;2002;2026;2037;2037;0;;;;;0;0
112;Kamil Belmrah;M;2004;2024;2039;2039;0;;;;;0;0
115;Manon Costard;F;1991;2025;2026;2026;1;;0;;;0;0
117;Pol Duplan-Fribourg;M;2003;2025;2038;2038;0;;;;;0;0
118;Fribourg Tristan Duplan;M;2007;2022;2042;2042;0;;;;;0;0
122;Thomas Laforet;M;1986;2025;2021;2026;1;;0;;;0;0
123;ESCOLANO Florence LANCIEN;F;1965;2025;2000;2026;1;;0;;;0;0
125;Marie Martini;F;1991;2025;2026;2026;1;;0;;;0;0
128;Hugo Notat;M;2004;2022;2039;2039;0;;;;;0;0
132;Claire-Lise Welter;F;1987;2025;2022;2026;1;;0;;;0;0
245;Lorraine Fribourg;F;;2025;;;0;;;;;0;0
246;Guillaume Duplan;M;;2025;;;0;;;;;0;0
247;Alexandre HUGONIN,;M;1978;2025;2013;2026;1;;0;;;0;0
349;Arthur Amblard;M;2002;2024;2037;2037;0;;;;;0;0
352;Pierre Ballon;M;1989;2024;2024;2025;2;;0;0;;0;0
353;Boada Claudia Barjau;F;2001;2024;2036;2036;0;;;;;0;0
358;Sacha Dauzonne;M;1995;2024;2030;2030;0;;;;;0;0
359;Louis Duplan-Fribourg;M;2000;2024;2035;2035;0;;;;;0;0
361;Romain Jacquier;M;1991;2024;2026;2026;1;;0;;;0;0
363;Forestier Nicolas Le;M;1973;2024;2008;2025;2;;0;0;;0;0
380;Alexis Baroni;M;1983;2023;2018;2024;3;;0;0;0;0;0
381;Ghalia Belmrah;F;2000;2023;2035;2035;0;;;;;0;0
387;Wiese Maria Delfina Cuglievan;F;1991;2023;2026;2026;1;;0;;;0;0
388;Tanguy Dailland;M;1996;2023;2031;2031;0;;;;;0;0
389;Thibaut Dailland;M;1990;2023;2025;2025;2;;0;0;;0;0
394;Charlie Emmett;M;2000;2023;2035;2035;0;;;;;0;0
397;Roland Jamin;M;1989;2023;2024;2024;3;;0;0;0;0;0
401;Benjamin Morel;M;2001;2023;2036;2036;0;;;;;0;0
403;Marie-Lou Moulanier;F;1999;2023;2034;2034;0;;;;;0;0
404;Tanguy Nedeau;M;2000;2023;2035;2035;0;;;;;0;0
405;Alban Neyrac;M;2004;2022;2039;2039;0;;;;;0;0
409;Mathilde Sniter;F;2004;2022;2039;2039;0;;;;;0;0
450;Mathilde Genelot;F;2001;2022;2036;2036;0;;;;;0;0
455;Emma Cortes;F;2005;2022;2040;2040;0;;;;;0;0
457;Ambre Franc;F;1991;2022;2026;2026;1;;0;;;0;0
