"Scope";"Year";"ChampionshipBlock";"ApprovedEntries";"ConvertedEntries";"MissingEntries";"ConversionRatePercent"
"DISCIPLINES_PHYSIQUES";"2023";"RELEVES";"52";"52";"0";"100"
"DISCIPLINES_PHYSIQUES";"2023";"SENIOR";"67";"61";"6";"91"
"DISCIPLINES_PHYSIQUES";"2023";"U21_OPEN";"61";"58";"3";"95,1"
"DISCIPLINES_PHYSIQUES";"2024";"RELEVES";"51";"51";"0";"100"
"DISCIPLINES_PHYSIQUES";"2024";"SENIOR";"70";"68";"2";"97,1"
"DISCIPLINES_PHYSIQUES";"2024";"U21_OPEN";"38";"36";"2";"94,7"
"DISCIPLINES_PHYSIQUES";"2025";"RELEVES";"51";"50";"1";"98"
"DISCIPLINES_PHYSIQUES";"2025";"SENIOR";"58";"58";"0";"100"
"DISCIPLINES_PHYSIQUES";"2026";"RELEVES";"65";"65";"0";"100"
"DISCIPLINES_PHYSIQUES";"2026";"SENIOR";"15";"15";"0";"100"
"DISCIPLINES_PHYSIQUES";"2026";"U21_OPEN";"37";"36";"1";"97,3"
"COMBINE";"2023";"RELEVES";"11";"11";"0";"100"
"COMBINE";"2023";"SENIOR";"10";"7";"3";"70"
"COMBINE";"2023";"U21_OPEN";"12";"11";"1";"91,7"
"COMBINE";"2024";"RELEVES";"12";"12";"0";"100"
"COMBINE";"2024";"SENIOR";"14";"12";"2";"85,7"
"COMBINE";"2024";"U21_OPEN";"8";"8";"0";"100"
"COMBINE";"2025";"RELEVES";"13";"12";"1";"92,3"
"COMBINE";"2025";"SENIOR";"12";"12";"0";"100"
"COMBINE";"2026";"RELEVES";"12";"12";"0";"100"
"COMBINE";"2026";"U21_OPEN";"8";"8";"0";"100"
