"Year";"CompetitionCode";"ChampionshipBlock";"Found";"CompetitionName";"ApprovedAll";"ApprovedFrench";"CategoriesRaw"
"2023";"23FRA017";"RELEVES";"True";"Championnat de France RELEVE 2023";"30";"23";"-10 F (10) | -10 M (10) | -10 M (9) | -12 F (12) | -12 M (12) | -14 F (13) | -14 F (14) | -14 M (13) | -14 M (14) | -17 F (15) | -17 F (16) | -17 F (17) | -17 M (15) | -17 M (16) | -17 M (17)"
"2023";"23FRA018";"U21_OPEN";"True";"Championnat de France 2023 - U21 + OPEN";"35";"31";"-21 F (19) | -21 F (20) | -21 F (21) | -21 M (15) | -21 M (16) | -21 M (18) | -21 M (19) | -21 M (21) | Open F (24) | Open F (27) | Open F (29) | Open F (32) | Open F (36) | Open M (22) | Open M (23) | Open M (27) | Open M (28) | Open M (29) | Open M (31) | Open M (33) | Open M (34) | Open M (40)"
"2023";"23FRA023";"SENIOR";"True";"Championnat de France SENIOR 2023";"43";"42";"35+ F (36) | 35+ M (38) | 35+ M (40) | 35+ M (42) | 35+ M (43) | 35+ M (45) | 45+ F (52) | 45+ M (47) | 45+ M (48) | 45+ M (50) | 45+ M (51) | 45+ M (52) | 45+ M (53) | 45+ M (54) | 45+ M (55) | 55+ F (57) | 55+ F (58) | 55+ F (59) | 55+ F (64) | 55+ M (58) | 55+ M (60) | 55+ M (61) | 55+ M (62) | 55+ M (63) | 55+ M (64) | 65+ M (66) | 65+ M (70) | 70+ M (71) | 70+ M (72) | 70+ M (74) | 70+ M (76) | 75+ M (77)"
"2024";"24FRA026";"RELEVES";"True";"Championnat de France RELEVES";"24";"21";"-10 F (9) | -10 M (10) | -12 F (11) | -12 M (11) | -14 F (13) | -14 F (14) | -14 M (13) | -14 M (14) | -17 F (16) | -17 M (15) | -17 M (16) | -17 M (17)"
"2024";"24FRA027";"U21_OPEN";"True";"Championnat de France U21 + OPEN";"27";"22";"-21 F (14) | -21 F (17) | -21 F (21) | -21 M (19) | -21 M (20) | Open F (22) | Open F (25) | Open F (28) | Open F (30) | Open F (33) | Open F (37) | Open M (23) | Open M (24) | Open M (29) | Open M (30) | Open M (32) | Open M (33) | Open M (35) | Open M (51)"
"2024";"24FRA034";"SENIOR";"True";"Championnat de France SENIOR";"40";"40";"35+ F (37) | 35+ F (40) | 35+ M (39) | 35+ M (41) | 35+ M (44) | 35+ M (45) | 35+ M (46) | 45+ F (46) | 45+ F (49) | 45+ F (53) | 45+ M (48) | 45+ M (49) | 45+ M (51) | 45+ M (52) | 45+ M (53) | 45+ M (54) | 45+ M (55) | 55+ F (58) | 55+ F (65) | 55+ F (66) | 55+ M (61) | 55+ M (62) | 55+ M (63) | 55+ M (65) | 65+ M (66) | 65+ M (67) | 70+ M (71) | 70+ M (72) | 75+ M (77) | 75+ M (78)"
"2025";"25FRA016";"RELEVES";"True";"Championnat de France RELEVES 2025";"23";"22";"-10 F (10) | -10 M (10) | -12 F (11) | -12 F (12) | -12 M (11) | -12 M (12) | -14 F (14) | -14 M (12) | -14 M (14) | -17 F (15) | -17 F (16) | -17 M (15) | -17 M (16) | -17 M (17)"
"2025";"25FRA206";"U21_OPEN";"True";"Championnat de France U21 + OPEN";"28";"27";"-21 F (18) | -21 F (19) | -21 M (18) | -21 M (20) | -21 M (21) | 35+ M (47) Div 1 | 55+ F (59) Div 1 | 55+ F (60) Div 1 | 65+ M (69) Div 1 | Open F (18) | Open F (23) | Open F (26) | Open F (34) | Open F (38) | Open F (60) | Open M (22) | Open M (24) | Open M (31) | Open M (33) | Open M (39) Div 1 | Open M (61)"
"2025";"25FRA018";"SENIOR";"True";"Championnat de France SENIOR 2025";"37";"32";"35+ F (38) | 35+ F (41) | 35+ F (42) | 35+ M (36) | 35+ M (37) | 35+ M (40) | 35+ M (45) | 45+ F (50) | 45+ M (47) | 45+ M (49) | 45+ M (50) | 45+ M (51) | 45+ M (52) | 45+ M (53) | 45+ M (55) | 45+ M (56) | 55+ F (59) | 55+ M (56) | 55+ M (60) | 55+ M (61) | 55+ M (62) | 55+ M (63) | 55+ M (65) | 55+ M (66) | 65+ M (66) | 65+ M (67) | 70+ M (72) | 70+ M (75) | 75+ M (78)"
"2026";"26FRA020";"RELEVES";"True";"Championnat de France RELEVES 2026";"34";"33";"-10 F (10) | -10 F (9) | -10 M (10) | -12 F (11) | -12 F (12) | -12 M (12) | -14 F (13) | -14 M (13) | -14 M (14) | -17 F (15) | -17 F (16) | -17 F (17) | -17 M (15) | -17 M (16) | -17 M (17) | -8 M (6)"
"2026";"26FRA021";"U21_OPEN";"True";"Championnat de France U21 + OPEN";"20";"19";"-21 F (16) | -21 M (18) | -21 M (19) | -21 M (21) | Open F (23) | Open F (24) | Open F (27) | Open F (30) | Open F (32) | Open F (55) | Open M (25) | Open M (32) | Open M (34)"
"2026";"26FRA041";"SENIOR";"True";"Championnat de France SENIOR 2026";"23";"19";"-17 F (15) | -17 M (16) | -21 M (21) | 35+ F (36) | 35+ F (45) | 35+ F (54) | 45+ F (46) | 45+ M (46) | 45+ M (55) | 45+ M (57) | 55+ M (56) | 55+ M (63) | 55+ M (64) | 65+ M (66) | 65+ M (67) | 75+ M (80) | Open F (27)"
