Year;CompetitionCode;CompetitionName;ChampionshipBlock;PopulationGroup;Category;CategoryOrder;Sex;Event;ApprovedAll;ApprovedFrench;ApprovedForeign;FrenchDepthClass;FrenchFieldOneToThree;FrenchPodiumPlaces;FrenchPodiumWeightPercent;RawCategories;DivisionLabels
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U10;10;F;SLALOM;1;1;0;1;1;1;100.0;-10 F (10);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U10;10;M;FIGURES;2;2;0;2;1;2;100.0;-10 M (10) | -10 M (9);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U10;10;M;SLALOM;2;2;0;2;1;2;100.0;-10 M (10) | -10 M (9);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;F;COMBINE;1;1;0;1;1;1;100.0;-12 F (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;F;FIGURES;2;2;0;2;1;2;100.0;-12 F (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;F;SAUT;1;1;0;1;1;1;100.0;-12 F (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;F;SLALOM;2;2;0;2;1;2;100.0;-12 F (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;M;COMBINE;2;2;0;2;1;2;100.0;-12 M (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;M;FIGURES;2;2;0;2;1;2;100.0;-12 M (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;M;SAUT;2;2;0;2;1;2;100.0;-12 M (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U12;12;M;SLALOM;3;2;1;2;1;2;100.0;-12 M (12);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;F;COMBINE;3;3;0;3;1;3;100.0;-14 F (13) | -14 F (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;F;FIGURES;3;3;0;3;1;3;100.0;-14 F (13) | -14 F (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;F;SAUT;3;3;0;3;1;3;100.0;-14 F (13) | -14 F (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;F;SLALOM;4;4;0;4-5;0;3;75.0;-14 F (13) | -14 F (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;M;COMBINE;3;2;1;2;1;2;100.0;-14 M (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;M;FIGURES;5;3;2;3;1;3;100.0;-14 M (13) | -14 M (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;M;SAUT;3;2;1;2;1;2;100.0;-14 M (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;RELEVES;U14;14;M;SLALOM;5;3;2;3;1;3;100.0;-14 M (13) | -14 M (14);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;F;COMBINE;1;1;0;1;1;1;100.0;-17 F (16);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;F;FIGURES;3;2;1;2;1;2;100.0;-17 F (16) | -17 F (17);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;F;SAUT;1;1;0;1;1;1;100.0;-17 F (16);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;F;SLALOM;5;3;2;3;1;3;100.0;-17 F (15) | -17 F (16) | -17 F (17);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;M;COMBINE;3;2;1;2;1;2;100.0;-17 M (15) | -17 M (16);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;M;FIGURES;4;3;1;3;1;3;100.0;-17 M (15) | -17 M (16);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;M;SAUT;4;3;1;3;1;3;100.0;-17 M (15) | -17 M (16);
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;JUNIOR;U17;17;M;SLALOM;8;6;2;6-9;0;3;50.0;-17 M (15) | -17 M (16) | -17 M (17);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;35+;35;F;FIGURES;1;1;0;1;1;1;100.0;35+ F (36);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;35+;35;F;SLALOM;1;1;0;1;1;1;100.0;35+ F (36);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;35+;35;M;COMBINE;5;5;0;4-5;0;3;60.0;35+ M (38) | 35+ M (40) | 35+ M (43) | 35+ M (45);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;35+;35;M;FIGURES;6;6;0;6-9;0;3;50.0;35+ M (38) | 35+ M (40) | 35+ M (43) | 35+ M (45);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;35+;35;M;SAUT;5;5;0;4-5;0;3;60.0;35+ M (38) | 35+ M (40) | 35+ M (43) | 35+ M (45);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;35+;35;M;SLALOM;7;7;0;6-9;0;3;42.9;35+ M (38) | 35+ M (40) | 35+ M (42) | 35+ M (43) | 35+ M (45);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;45+;45;F;FIGURES;1;1;0;1;1;1;100.0;45+ F (52);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;45+;45;F;SLALOM;1;1;0;1;1;1;100.0;45+ F (52);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;45+;45;M;COMBINE;2;2;0;2;1;2;100.0;45+ M (48) | 45+ M (51);
2023;23FRA023;Championnat de France SENIOR 2023;SENIOR;SENIOR;45+;45;M;FIGURES;2;2;0;2;1;2;100.0;45+ M (48) | 45+ M (51);
