Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;SLALOM;MAR|2011|ALAOUI DRISS;ALAOUI Driss;MAR;0;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;17;;SLALOM;FRA|2006|BRUYERE TONY;BRUYERE Tony;FRA;1;-17 M (17)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;SLALOM;FRA|2011|CONTE LUBIN;CONTE Lubin;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;FIGURES;FRA|2011|CONTE LUBIN;CONTE Lubin;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;SAUT;FRA|2011|CONTE LUBIN;CONTE Lubin;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;M;12;;COMBINE;FRA|2011|CONTE LUBIN;CONTE Lubin;FRA;1;-12 M (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;F;12;;SLALOM;FRA|2011|CORTES LILOU;CORTES Lilou;FRA;1;-12 F (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;12;F;12;;FIGURES;FRA|2011|CORTES LILOU;CORTES Lilou;FRA;1;-12 F (12)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;F;15;;SLALOM;FRA|2008|COSTER CARLA;COSTER Carla;FRA;1;-17 F (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;F;13;;SLALOM;FRA|2010|COSTER EVA;COSTER Eva;FRA;1;-14 F (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;F;17;;SLALOM;FRA|2006|CURTI CLEMENTINE;CURTI Clémentine;FRA;1;-17 F (17)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;F;17;;FIGURES;FRA|2006|CURTI CLEMENTINE;CURTI Clémentine;FRA;1;-17 F (17)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SLALOM;GBR|2009|DAUTIGNY RAPHAEL;DAUTIGNY Raphael;GBR;0;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;FIGURES;GBR|2009|DAUTIGNY RAPHAEL;DAUTIGNY Raphael;GBR;0;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SAUT;GBR|2009|DAUTIGNY RAPHAEL;DAUTIGNY Raphael;GBR;0;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;COMBINE;GBR|2009|DAUTIGNY RAPHAEL;DAUTIGNY Raphael;GBR;0;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SLALOM;GBR|2008|DAUTIGNY SEBASTIEN;DAUTIGNY Sebastien;GBR;0;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;SLALOM;FRA|2007|DRAUX VIRGILE;DRAUX Virgile;FRA;1;-17 M (16)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;SLALOM;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-17 M (16)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;FIGURES;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-17 M (16)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;SAUT;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-17 M (16)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;16;;COMBINE;FRA|2007|DUPLAN FRIBOURG TRISTAN;DUPLAN FRIBOURG Tristan;FRA;1;-17 M (16)
