"Year";"ChampionshipBlock";"PopulationGroup";"Event";"ObservedFields";"FrenchFieldParticipations";"MeanFieldSize";"FieldsOneToThree";"ShareFieldsOneToThreePercent";"PodiumWeightPercent"
"2023";"RELEVES";"JUNIOR";"COMBINE";"2";"3";"1,5";"2";"100";"100"
"2023";"RELEVES";"JUNIOR";"FIGURES";"2";"5";"2,5";"2";"100";"100"
"2023";"RELEVES";"JUNIOR";"SAUT";"2";"4";"2";"2";"100";"100"
"2023";"RELEVES";"JUNIOR";"SLALOM";"2";"9";"4,5";"1";"50";"66,7"
"2023";"RELEVES";"RELEVES";"COMBINE";"4";"8";"2";"4";"100";"100"
"2023";"RELEVES";"RELEVES";"FIGURES";"5";"12";"2,4";"5";"100";"100"
"2023";"RELEVES";"RELEVES";"SAUT";"4";"8";"2";"4";"100";"100"
"2023";"RELEVES";"RELEVES";"SLALOM";"6";"14";"2,33";"5";"83,3";"92,9"
"2023";"SENIOR";"SENIOR";"COMBINE";"4";"10";"2,5";"3";"75";"80"
"2023";"SENIOR";"SENIOR";"FIGURES";"9";"17";"1,89";"8";"88,9";"82,4"
"2023";"SENIOR";"SENIOR";"SAUT";"4";"11";"2,75";"3";"75";"81,8"
"2023";"SENIOR";"SENIOR";"SLALOM";"9";"39";"4,33";"5";"55,6";"51,3"
"2023";"U21_OPEN";"OPEN";"COMBINE";"2";"5";"2,5";"2";"100";"100"
"2023";"U21_OPEN";"OPEN";"FIGURES";"2";"9";"4,5";"0";"0";"66,7"
"2023";"U21_OPEN";"OPEN";"SAUT";"2";"6";"3";"1";"50";"83,3"
"2023";"U21_OPEN";"OPEN";"SLALOM";"2";"16";"8";"0";"0";"37,5"
"2023";"U21_OPEN";"U21";"COMBINE";"2";"7";"3,5";"1";"50";"85,7"
"2023";"U21_OPEN";"U21";"FIGURES";"2";"8";"4";"0";"0";"75"
"2023";"U21_OPEN";"U21";"SAUT";"2";"10";"5";"0";"0";"60"
"2023";"U21_OPEN";"U21";"SLALOM";"2";"12";"6";"0";"0";"50"
"2024";"RELEVES";"JUNIOR";"COMBINE";"1";"5";"5";"0";"0";"60"
"2024";"RELEVES";"JUNIOR";"FIGURES";"1";"6";"6";"0";"0";"50"
"2024";"RELEVES";"JUNIOR";"SAUT";"1";"5";"5";"0";"0";"60"
"2024";"RELEVES";"JUNIOR";"SLALOM";"2";"7";"3,5";"1";"50";"57,1"
"2024";"RELEVES";"RELEVES";"COMBINE";"3";"7";"2,33";"3";"100";"100"
"2024";"RELEVES";"RELEVES";"FIGURES";"5";"12";"2,4";"3";"60";"83,3"
"2024";"RELEVES";"RELEVES";"SAUT";"3";"7";"2,33";"3";"100";"100"
"2024";"RELEVES";"RELEVES";"SLALOM";"6";"14";"2,33";"4";"66,7";"78,6"
"2024";"SENIOR";"SENIOR";"COMBINE";"6";"14";"2,33";"4";"66,7";"85,7"
"2024";"SENIOR";"SENIOR";"FIGURES";"8";"18";"2,25";"6";"75";"88,9"
"2024";"SENIOR";"SENIOR";"SAUT";"6";"16";"2,67";"4";"66,7";"75"
"2024";"SENIOR";"SENIOR";"SLALOM";"9";"36";"4";"6";"66,7";"63,9"
"2024";"U21_OPEN";"OPEN";"COMBINE";"2";"5";"2,5";"2";"100";"100"
"2024";"U21_OPEN";"OPEN";"FIGURES";"2";"8";"4";"0";"0";"75"
"2024";"U21_OPEN";"OPEN";"SAUT";"2";"6";"3";"2";"100";"100"
"2024";"U21_OPEN";"OPEN";"SLALOM";"2";"12";"6";"0";"0";"50"
"2024";"U21_OPEN";"U21";"COMBINE";"2";"3";"1,5";"2";"100";"100"
"2024";"U21_OPEN";"U21";"FIGURES";"2";"4";"2";"2";"100";"100"
"2024";"U21_OPEN";"U21";"SAUT";"2";"4";"2";"2";"100";"100"
"2024";"U21_OPEN";"U21";"SLALOM";"2";"4";"2";"2";"100";"100"
"2025";"RELEVES";"JUNIOR";"COMBINE";"2";"6";"3";"1";"50";"66,7"
"2025";"RELEVES";"JUNIOR";"FIGURES";"2";"7";"3,5";"1";"50";"71,4"
"2025";"RELEVES";"JUNIOR";"SAUT";"2";"7";"3,5";"1";"50";"71,4"
"2025";"RELEVES";"JUNIOR";"SLALOM";"2";"8";"4";"1";"50";"62,5"
"2025";"RELEVES";"RELEVES";"COMBINE";"4";"7";"1,75";"4";"100";"100"
"2025";"RELEVES";"RELEVES";"FIGURES";"5";"9";"1,8";"5";"100";"100"
"2025";"RELEVES";"RELEVES";"SAUT";"4";"7";"1,75";"4";"100";"100"
"2025";"RELEVES";"RELEVES";"SLALOM";"6";"13";"2,17";"6";"100";"100"
"2025";"SENIOR";"SENIOR";"COMBINE";"5";"12";"2,4";"3";"60";"75"
"2025";"SENIOR";"SENIOR";"FIGURES";"5";"14";"2,8";"3";"60";"71,4"
"2025";"SENIOR";"SENIOR";"SAUT";"5";"12";"2,4";"3";"60";"75"
"2025";"SENIOR";"SENIOR";"SLALOM";"9";"32";"3,56";"6";"66,7";"59,4"
"2025";"U21_OPEN";"OPEN";"COMBINE";"2";"7";"3,5";"1";"50";"85,7"
"2025";"U21_OPEN";"OPEN";"FIGURES";"2";"7";"3,5";"1";"50";"85,7"
"2025";"U21_OPEN";"OPEN";"SAUT";"2";"8";"4";"1";"50";"75"
"2025";"U21_OPEN";"OPEN";"SLALOM";"2";"14";"7";"0";"0";"42,9"
"2025";"U21_OPEN";"U21";"COMBINE";"2";"4";"2";"2";"100";"100"
"2025";"U21_OPEN";"U21";"FIGURES";"2";"6";"3";"1";"50";"83,3"
"2025";"U21_OPEN";"U21";"SAUT";"2";"5";"2,5";"2";"100";"100"
"2025";"U21_OPEN";"U21";"SLALOM";"2";"7";"3,5";"1";"50";"71,4"
"2026";"RELEVES";"JUNIOR";"COMBINE";"2";"4";"2";"2";"100";"100"
"2026";"RELEVES";"JUNIOR";"FIGURES";"2";"7";"3,5";"1";"50";"85,7"
