"Year";"ChampionshipBlock";"PopulationGroup";"Sex";"ObservedFields";"FrenchFieldParticipations";"MeanFieldSize";"FieldsOneToThree";"ShareFieldsOneToThreePercent";"PodiumWeightPercent"
"2023";"RELEVES";"JUNIOR";"F";"4";"7";"1,75";"4";"100";"100"
"2023";"RELEVES";"JUNIOR";"M";"4";"14";"3,5";"3";"75";"78,6"
"2023";"RELEVES";"RELEVES";"F";"9";"20";"2,22";"8";"88,9";"95"
"2023";"RELEVES";"RELEVES";"M";"10";"22";"2,2";"10";"100";"100"
"2023";"SENIOR";"SENIOR";"F";"8";"12";"1,5";"7";"87,5";"83,3"
"2023";"SENIOR";"SENIOR";"M";"18";"65";"3,61";"12";"66,7";"63,1"
"2023";"U21_OPEN";"OPEN";"F";"4";"14";"3,5";"2";"50";"71,4"
"2023";"U21_OPEN";"OPEN";"M";"4";"22";"5,5";"1";"25";"54,5"
"2023";"U21_OPEN";"U21";"F";"4";"16";"4";"0";"0";"75"
"2023";"U21_OPEN";"U21";"M";"4";"21";"5,25";"1";"25";"57,1"
"2024";"RELEVES";"JUNIOR";"F";"1";"1";"1";"1";"100";"100"
"2024";"RELEVES";"JUNIOR";"M";"4";"22";"5,5";"0";"0";"54,5"
"2024";"RELEVES";"RELEVES";"F";"7";"18";"2,57";"5";"71,4";"83,3"
"2024";"RELEVES";"RELEVES";"M";"10";"22";"2,2";"8";"80";"90,9"
"2024";"SENIOR";"SENIOR";"F";"9";"18";"2";"9";"100";"100"
"2024";"SENIOR";"SENIOR";"M";"20";"66";"3,3";"11";"55";"68,2"
"2024";"U21_OPEN";"OPEN";"F";"4";"17";"4,25";"2";"50";"70,6"
"2024";"U21_OPEN";"OPEN";"M";"4";"14";"3,5";"2";"50";"78,6"
"2024";"U21_OPEN";"U21";"F";"4";"9";"2,25";"4";"100";"100"
"2024";"U21_OPEN";"U21";"M";"4";"6";"1,5";"4";"100";"100"
"2025";"RELEVES";"JUNIOR";"F";"4";"7";"1,75";"4";"100";"100"
"2025";"RELEVES";"JUNIOR";"M";"4";"21";"5,25";"0";"0";"57,1"
"2025";"RELEVES";"RELEVES";"F";"10";"14";"1,4";"10";"100";"100"
"2025";"RELEVES";"RELEVES";"M";"9";"22";"2,44";"9";"100";"100"
"2025";"SENIOR";"SENIOR";"F";"9";"11";"1,22";"9";"100";"100"
"2025";"SENIOR";"SENIOR";"M";"15";"59";"3,93";"6";"40";"61"
"2025";"U21_OPEN";"OPEN";"F";"4";"21";"5,25";"0";"0";"57,1"
"2025";"U21_OPEN";"OPEN";"M";"4";"15";"3,75";"3";"75";"80"
"2025";"U21_OPEN";"U21";"F";"4";"8";"2";"4";"100";"100"
"2025";"U21_OPEN";"U21";"M";"4";"14";"3,5";"2";"50";"78,6"
"2026";"RELEVES";"JUNIOR";"F";"4";"14";"3,5";"2";"50";"78,6"
"2026";"RELEVES";"JUNIOR";"M";"4";"12";"3";"3";"75";"83,3"
"2026";"RELEVES";"RELEVES";"F";"10";"19";"1,9";"10";"100";"100"
"2026";"RELEVES";"RELEVES";"M";"13";"32";"2,46";"8";"61,5";"75"
"2026";"SENIOR";"SENIOR";"F";"2";"4";"2";"2";"100";"100"
"2026";"SENIOR";"SENIOR";"M";"6";"11";"1,83";"6";"100";"100"
"2026";"U21_OPEN";"OPEN";"F";"4";"17";"4,25";"2";"50";"70,6"
"2026";"U21_OPEN";"OPEN";"M";"4";"7";"1,75";"3";"75";"85,7"
"2026";"U21_OPEN";"U21";"F";"1";"1";"1";"1";"100";"100"
"2026";"U21_OPEN";"U21";"M";"4";"20";"5";"0";"0";"60"
