Year;ChampionshipBlock;PopulationGroup;Sex;Event;ObservedFields;FrenchFieldParticipations;MeanFieldSize;MedianFieldSize;FieldsOneToThree;ShareFieldsOneToThreePercent;PodiumWeightPercent
2023;RELEVES;JUNIOR;F;COMBINE;1;1;1;1;1;100.0;100.0
2023;RELEVES;JUNIOR;F;FIGURES;1;2;2;2;1;100.0;100.0
2023;RELEVES;JUNIOR;F;SAUT;1;1;1;1;1;100.0;100.0
2023;RELEVES;JUNIOR;F;SLALOM;1;3;3;3;1;100.0;100.0
2023;RELEVES;JUNIOR;M;COMBINE;1;2;2;2;1;100.0;100.0
2023;RELEVES;JUNIOR;M;FIGURES;1;3;3;3;1;100.0;100.0
2023;RELEVES;JUNIOR;M;SAUT;1;3;3;3;1;100.0;100.0
2023;RELEVES;JUNIOR;M;SLALOM;1;6;6;6;0;0.0;50.0
2023;RELEVES;RELEVES;F;COMBINE;2;4;2;2.0;2;100.0;100.0
2023;RELEVES;RELEVES;F;FIGURES;2;5;2.5;2.5;2;100.0;100.0
2023;RELEVES;RELEVES;F;SAUT;2;4;2;2.0;2;100.0;100.0
2023;RELEVES;RELEVES;F;SLALOM;3;7;2.33;2;2;66.7;85.7
2023;RELEVES;RELEVES;M;COMBINE;2;4;2;2.0;2;100.0;100.0
2023;RELEVES;RELEVES;M;FIGURES;3;7;2.33;2;3;100.0;100.0
2023;RELEVES;RELEVES;M;SAUT;2;4;2;2.0;2;100.0;100.0
2023;RELEVES;RELEVES;M;SLALOM;3;7;2.33;2;3;100.0;100.0
2023;SENIOR;SENIOR;F;COMBINE;1;1;1;1;1;100.0;100.0
2023;SENIOR;SENIOR;F;FIGURES;3;3;1;1;3;100.0;100.0
2023;SENIOR;SENIOR;F;SAUT;1;1;1;1;1;100.0;100.0
2023;SENIOR;SENIOR;F;SLALOM;3;7;2.33;1;2;66.7;71.4
2023;SENIOR;SENIOR;M;COMBINE;3;9;3;2;2;66.7;77.8
2023;SENIOR;SENIOR;M;FIGURES;6;14;2.33;1.5;5;83.3;78.6
2023;SENIOR;SENIOR;M;SAUT;3;10;3.33;3;2;66.7;80.0
2023;SENIOR;SENIOR;M;SLALOM;6;32;5.33;5.0;3;50.0;46.9
2023;U21_OPEN;OPEN;F;COMBINE;1;2;2;2;1;100.0;100.0
2023;U21_OPEN;OPEN;F;FIGURES;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;OPEN;F;SAUT;1;2;2;2;1;100.0;100.0
2023;U21_OPEN;OPEN;F;SLALOM;1;6;6;6;0;0.0;50.0
2023;U21_OPEN;OPEN;M;COMBINE;1;3;3;3;1;100.0;100.0
2023;U21_OPEN;OPEN;M;FIGURES;1;5;5;5;0;0.0;60.0
2023;U21_OPEN;OPEN;M;SAUT;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;OPEN;M;SLALOM;1;10;10;10;0;0.0;30.0
2023;U21_OPEN;U21;F;COMBINE;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;U21;F;FIGURES;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;U21;F;SAUT;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;U21;F;SLALOM;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;U21;M;COMBINE;1;3;3;3;1;100.0;100.0
2023;U21_OPEN;U21;M;FIGURES;1;4;4;4;0;0.0;75.0
2023;U21_OPEN;U21;M;SAUT;1;6;6;6;0;0.0;50.0
2023;U21_OPEN;U21;M;SLALOM;1;8;8;8;0;0.0;37.5
2024;RELEVES;JUNIOR;F;SLALOM;1;1;1;1;1;100.0;100.0
2024;RELEVES;JUNIOR;M;COMBINE;1;5;5;5;0;0.0;60.0
2024;RELEVES;JUNIOR;M;FIGURES;1;6;6;6;0;0.0;50.0
2024;RELEVES;JUNIOR;M;SAUT;1;5;5;5;0;0.0;60.0
2024;RELEVES;JUNIOR;M;SLALOM;1;6;6;6;0;0.0;50.0
2024;RELEVES;RELEVES;F;COMBINE;1;3;3;3;1;100.0;100.0
2024;RELEVES;RELEVES;F;FIGURES;2;5;2.5;2.5;1;50.0;80.0
2024;RELEVES;RELEVES;F;SAUT;1;3;3;3;1;100.0;100.0
2024;RELEVES;RELEVES;F;SLALOM;3;7;2.33;1;2;66.7;71.4
2024;RELEVES;RELEVES;M;COMBINE;2;4;2;2.0;2;100.0;100.0
2024;RELEVES;RELEVES;M;FIGURES;3;7;2.33;2;2;66.7;85.7
2024;RELEVES;RELEVES;M;SAUT;2;4;2;2.0;2;100.0;100.0
2024;RELEVES;RELEVES;M;SLALOM;3;7;2.33;2;2;66.7;85.7
2024;SENIOR;SENIOR;F;COMBINE;2;3;1.5;1.5;2;100.0;100.0
2024;SENIOR;SENIOR;F;FIGURES;2;4;2;2.0;2;100.0;100.0
2024;SENIOR;SENIOR;F;SAUT;2;3;1.5;1.5;2;100.0;100.0
2024;SENIOR;SENIOR;F;SLALOM;3;8;2.67;3;3;100.0;100.0
2024;SENIOR;SENIOR;M;COMBINE;4;11;2.75;3.0;2;50.0;81.8
2024;SENIOR;SENIOR;M;FIGURES;6;14;2.33;2.0;4;66.7;85.7
2024;SENIOR;SENIOR;M;SAUT;4;13;3.25;3.5;2;50.0;69.2
2024;SENIOR;SENIOR;M;SLALOM;6;28;4.67;4.0;3;50.0;53.6
2024;U21_OPEN;OPEN;F;COMBINE;1;3;3;3;1;100.0;100.0
2024;U21_OPEN;OPEN;F;FIGURES;1;4;4;4;0;0.0;75.0
2024;U21_OPEN;OPEN;F;SAUT;1;3;3;3;1;100.0;100.0
2024;U21_OPEN;OPEN;F;SLALOM;1;7;7;7;0;0.0;42.9
2024;U21_OPEN;OPEN;M;COMBINE;1;2;2;2;1;100.0;100.0
2024;U21_OPEN;OPEN;M;FIGURES;1;4;4;4;0;0.0;75.0
2024;U21_OPEN;OPEN;M;SAUT;1;3;3;3;1;100.0;100.0
2024;U21_OPEN;OPEN;M;SLALOM;1;5;5;5;0;0.0;60.0
2024;U21_OPEN;U21;F;COMBINE;1;2;2;2;1;100.0;100.0
2024;U21_OPEN;U21;F;FIGURES;1;3;3;3;1;100.0;100.0
2024;U21_OPEN;U21;F;SAUT;1;2;2;2;1;100.0;100.0
2024;U21_OPEN;U21;F;SLALOM;1;2;2;2;1;100.0;100.0
2024;U21_OPEN;U21;M;COMBINE;1;1;1;1;1;100.0;100.0
2024;U21_OPEN;U21;M;FIGURES;1;1;1;1;1;100.0;100.0
2024;U21_OPEN;U21;M;SAUT;1;2;2;2;1;100.0;100.0
2024;U21_OPEN;U21;M;SLALOM;1;2;2;2;1;100.0;100.0
2025;RELEVES;JUNIOR;F;COMBINE;1;1;1;1;1;100.0;100.0
2025;RELEVES;JUNIOR;F;FIGURES;1;2;2;2;1;100.0;100.0
2025;RELEVES;JUNIOR;F;SAUT;1;2;2;2;1;100.0;100.0
2025;RELEVES;JUNIOR;F;SLALOM;1;2;2;2;1;100.0;100.0
2025;RELEVES;JUNIOR;M;COMBINE;1;5;5;5;0;0.0;60.0
2025;RELEVES;JUNIOR;M;FIGURES;1;5;5;5;0;0.0;60.0
2025;RELEVES;JUNIOR;M;SAUT;1;5;5;5;0;0.0;60.0
2025;RELEVES;JUNIOR;M;SLALOM;1;6;6;6;0;0.0;50.0
2025;RELEVES;RELEVES;F;COMBINE;2;2;1;1.0;2;100.0;100.0
2025;RELEVES;RELEVES;F;FIGURES;3;4;1.33;1;3;100.0;100.0
2025;RELEVES;RELEVES;F;SAUT;2;2;1;1.0;2;100.0;100.0
2025;RELEVES;RELEVES;F;SLALOM;3;6;2;2;3;100.0;100.0
2025;RELEVES;RELEVES;M;COMBINE;2;5;2.5;2.5;2;100.0;100.0
2025;RELEVES;RELEVES;M;FIGURES;2;5;2.5;2.5;2;100.0;100.0
2025;RELEVES;RELEVES;M;SAUT;2;5;2.5;2.5;2;100.0;100.0
2025;RELEVES;RELEVES;M;SLALOM;3;7;2.33;3;3;100.0;100.0
2025;SENIOR;SENIOR;F;COMBINE;2;2;1;1.0;2;100.0;100.0
2025;SENIOR;SENIOR;F;FIGURES;2;2;1;1.0;2;100.0;100.0
2025;SENIOR;SENIOR;F;SAUT;2;2;1;1.0;2;100.0;100.0
2025;SENIOR;SENIOR;F;SLALOM;3;5;1.67;1;3;100.0;100.0
2025;SENIOR;SENIOR;M;COMBINE;3;10;3.33;4;1;33.3;70.0
2025;SENIOR;SENIOR;M;FIGURES;3;12;4;4;1;33.3;66.7
2025;SENIOR;SENIOR;M;SAUT;3;10;3.33;4;1;33.3;70.0
2025;SENIOR;SENIOR;M;SLALOM;6;27;4.5;4.0;3;50.0;51.9
2025;U21_OPEN;OPEN;F;COMBINE;1;4;4;4;0;0.0;75.0
2025;U21_OPEN;OPEN;F;FIGURES;1;4;4;4;0;0.0;75.0
2025;U21_OPEN;OPEN;F;SAUT;1;5;5;5;0;0.0;60.0
2025;U21_OPEN;OPEN;F;SLALOM;1;8;8;8;0;0.0;37.5
2025;U21_OPEN;OPEN;M;COMBINE;1;3;3;3;1;100.0;100.0
2025;U21_OPEN;OPEN;M;FIGURES;1;3;3;3;1;100.0;100.0
2025;U21_OPEN;OPEN;M;SAUT;1;3;3;3;1;100.0;100.0
2025;U21_OPEN;OPEN;M;SLALOM;1;6;6;6;0;0.0;50.0
2025;U21_OPEN;U21;F;COMBINE;1;2;2;2;1;100.0;100.0
2025;U21_OPEN;U21;F;FIGURES;1;2;2;2;1;100.0;100.0
2025;U21_OPEN;U21;F;SAUT;1;2;2;2;1;100.0;100.0
2025;U21_OPEN;U21;F;SLALOM;1;2;2;2;1;100.0;100.0
2025;U21_OPEN;U21;M;COMBINE;1;2;2;2;1;100.0;100.0
2025;U21_OPEN;U21;M;FIGURES;1;4;4;4;0;0.0;75.0
2025;U21_OPEN;U21;M;SAUT;1;3;3;3;1;100.0;100.0
2025;U21_OPEN;U21;M;SLALOM;1;5;5;5;0;0.0;60.0
2026;RELEVES;JUNIOR;F;COMBINE;1;2;2;2;1;100.0;100.0
2026;RELEVES;JUNIOR;F;FIGURES;1;4;4;4;0;0.0;75.0
2026;RELEVES;JUNIOR;F;SAUT;1;3;3;3;1;100.0;100.0
2026;RELEVES;JUNIOR;F;SLALOM;1;5;5;5;0;0.0;60.0
2026;RELEVES;JUNIOR;M;COMBINE;1;2;2;2;1;100.0;100.0
2026;RELEVES;JUNIOR;M;FIGURES;1;3;3;3;1;100.0;100.0
2026;RELEVES;JUNIOR;M;SAUT;1;2;2;2;1;100.0;100.0
2026;RELEVES;JUNIOR;M;SLALOM;1;5;5;5;0;0.0;60.0
2026;RELEVES;RELEVES;F;COMBINE;2;2;1;1.0;2;100.0;100.0
2026;RELEVES;RELEVES;F;FIGURES;3;7;2.33;3;3;100.0;100.0
2026;RELEVES;RELEVES;F;SAUT;2;2;1;1.0;2;100.0;100.0
2026;RELEVES;RELEVES;F;SLALOM;3;8;2.67;3;3;100.0;100.0
2026;RELEVES;RELEVES;M;COMBINE;3;6;2;1;2;66.7;83.3
2026;RELEVES;RELEVES;M;FIGURES;4;8;2;1.0;3;75.0;75.0
2026;RELEVES;RELEVES;M;SAUT;3;6;2;1;2;66.7;83.3
2026;RELEVES;RELEVES;M;SLALOM;3;12;4;4;1;33.3;66.7
2026;SENIOR;SENIOR;F;SLALOM;2;4;2;2.0;2;100.0;100.0
2026;SENIOR;SENIOR;M;FIGURES;2;2;1;1.0;2;100.0;100.0
2026;SENIOR;SENIOR;M;SLALOM;4;9;2.25;2.5;4;100.0;100.0
2026;U21_OPEN;OPEN;F;COMBINE;1;3;3;3;1;100.0;100.0
2026;U21_OPEN;OPEN;F;FIGURES;1;5;5;5;0;0.0;60.0
