CohortYear;Dimension;Group;InitialAthletes;Present2024;Present2024Percent;Present2025;Present2025Percent;PresentAllThreeYears;PresentAllThreeYearsPercent;ReturnAfterGap
2023;ALL;ALL;206;140;68.0;130;63.1;115;55.8;15
2023;SEX;F;58;40;69.0;34;58.6;31;53.4;3
2023;SEX;M;148;100;67.6;96;64.9;84;56.8;12
2023;AGE_BAND;RELEVES;30;19;63.3;20;66.7;18;60.0;2
2023;AGE_BAND;JUNIOR;17;12;70.6;11;64.7;10;58.8;1
2023;AGE_BAND;U21;19;14;73.7;12;63.2;10;52.6;2
2023;AGE_BAND;OPEN;35;19;54.3;17;48.6;13;37.1;4
2023;AGE_BAND;SENIOR;105;76;72.4;70;66.7;64;61.0;6
2023;SEX_X_AGE_BAND;F|RELEVES;12;7;58.3;8;66.7;7;58.3;1
2023;SEX_X_AGE_BAND;F|JUNIOR;6;6;100.0;4;66.7;4;66.7;0
2023;SEX_X_AGE_BAND;F|U21;7;4;57.1;4;57.1;3;42.9;1
2023;SEX_X_AGE_BAND;F|OPEN;12;7;58.3;5;41.7;5;41.7;0
2023;SEX_X_AGE_BAND;F|SENIOR;21;16;76.2;13;61.9;12;57.1;1
2023;SEX_X_AGE_BAND;M|RELEVES;18;12;66.7;12;66.7;11;61.1;1
2023;SEX_X_AGE_BAND;M|JUNIOR;11;6;54.5;7;63.6;6;54.5;1
2023;SEX_X_AGE_BAND;M|U21;12;10;83.3;8;66.7;7;58.3;1
2023;SEX_X_AGE_BAND;M|OPEN;23;12;52.2;12;52.2;8;34.8;4
2023;SEX_X_AGE_BAND;M|SENIOR;84;60;71.4;57;67.9;52;61.9;5
