"Date";"Discipline";"Type";"Homol.";"Country";"Name";"H1";"Site";"EMS Code";"Nat. Code"
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"TROPHEE DES JOLIES FILLES";"";"Club Arc Dijon...";"21FRA004";""
"5-6 Jun 2021";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville SLALOM CUP";"";"Ski Caraibes A...";"21FRA005";""
"19-21 Jun 2021";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville 3D";"";"Ski Caraibes A...";"21FRA006";""
"9-10 Oct 2021 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville 3 events classic";"";"Ski Caraibes A...";"21FRA007";""
"25 Jun 2021";"Waterski";"INTER";"L";"FRA";"AQUACHALLENGE";"";"Aqu'Aventure";"21FRA008";""
"4-5 Sep 2021";"Waterski";"INTER";"L";"FRA";"AQUACUP";"";"Aqu'Aventure";"21FRA009";""
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"21FRA013";""
"18-19 Sep 2021";"Waterski";"INTER";"L";"FRA";"Grenoble Bois Français Slalom Contest";"";"Ski Nautique C...";"21FRA015";""
"24-25 Jul 2021";"Waterski";"INTER";"L";"FRA";"Grand Prix de Marcillac";"";"Ski Club Nauti...";"21FRA016";""
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue CVL - 3D";"";"Touraine Ski ...";"21FRA019";""
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"21FRA021";""
"27-29 Aug 2021";"Waterski";"INTER";"L";"FRA";"Bordeaux 3D";"";"Ski Nautique C...";"21FRA023";""
"16-17 Oct 2021";"Waterski";"INTER";"L";"FRA";"Baurech Classic";"";"Ski Nautique C...";"21FRA024";""
"26-27 Jun 2021";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUIN";"";"Club Omnisport...";"21FRA025";""
"2-3 Oct 2021";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D octobre";"";"Club Omnisport...";"21FRA026";""
"28-29 Aug 2021";"Waterski";"INTER";"L";"FRA";"Championnat de ligue Bourgogne Franche Comté";"";"Ski nautique M...";"21FRA027";""
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Coupe de Pitrot";"";"Lacanau Ski Cl...";"21FRA028";""
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Lacanau Slalom cup";"";"Lacanau Ski Cl...";"21FRA029";""
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 21";"";"Ski Nautique C...";"21FRA030";""
"21-22 Aug 2021";"Waterski";"INTER";"L";"FRA";"Austin's Cup 21";"";"Ski Nautique C...";"21FRA031";""
"7-8 Aug 2021";"Waterski";"NAT";"L";"FRA";"Championnats de Ligue OCC Ski Classique";"";"Cajarc (Lot)";"21FRA033";""
"19-20 Jun 2021";"Waterski";"Pro Tour";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"21FRA034";""
"14-15 Aug 2021";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS 2.0";"";"FUNGLISS DOMMA...";"21FRA035";""
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue Ile de France";"";"Nemours Grez/l...";"21FRA036";""
"31 Jul - 1 Aug 2021";"Waterski";"INTER";"NL";"FRA";"CHAMPIONNATS DU MONT DE LAROCHE";"";"Association Sp...";"21FRA038";""
"21-22 Aug 2021";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"21FRA040";""
"10-11 Jul 2021";"Waterski";"INTER";"L";"FRA";"Magic Lakes’ Challenge";"";"Nemours Grez/l...";"21FRA042";""
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge";"";"Club Nautique ...";"21FRA043";""
"31 Jul - 1 Aug 2021";"Waterski";"NatCH";"L";"FRA";"Championnats de France SENIOR";"";"Touraine Ski ...";"21FRA044";""
"9-11 Jul 2021";"Waterski";"NatCH";"L";"FRA";"Championnats de France RELEVES";"";"Ski Nautique M...";"21FRA045";""
"13-14 Jul 2021";"Waterski";"NatCH";"R";"FRA";"Championnat de France OPEN";"";"Ski Nautique M...";"21FRA046";""
"25-26 Sep 2021";"Waterski";"NatCH";"L";"FRA";"Championnat de France INTERLIGUES";"";"Club Nautique ...";"21FRA048";""
"4-5 Sep 2021";"Waterski";"INTER";"L";"FRA";"Mémorial Michel Naudinat Ch ligue NAQU";"";"Bombannes";"21FRA049";""
"2-3 Oct 2021";"Waterski";"INTER";"L";"FRA";"Magic Cup 2";"";"Nemours Grez/l...";"21FRA055";""
"12 Sep 2021";"Waterski";"NAT";"NL";"FRA";"Saint Pardoux Cup";"";"St Pardoux";"21FRA056";""
"13-19 Sep 2021 CANCELLED";"Waterski";"WC";"L";"FRA";"2020 IWWF World Over 35 Waterski Championships";"";"Ski Nautique C...";"21IWWF01";""
"18-19 Jun 2022";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"22FRA001";""
"8-10 Jul 2022";"Waterski";"INTER";"R";"FRA";"Malibu Open LACANAU proam 2022";"";"Lacanau Ski Cl...";"22FRA002";""
"11-12 Jun 2022";"Waterski";"INTER";"L";"FRA";"TROPHEE DES JOLIES FILLES";"";"Club Arc Dijon...";"22FRA003";""
