"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"30 Jun - 2 Jul 2023";"Waterski";"INTER";"R";"FRA";"MALIBU OPEN LACANAU";"";"Lacanau Ski Cl...";"23FRA001";"";"https://ems.iwwf.sport/Competitions/Details?Id=f02e8503-619a-4d9d-9373-323aceffc544"
"1-2 Jul 2023";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUILLET";"";"Club Omnisport...";"23FRA002";"";"https://ems.iwwf.sport/Competitions/Details?Id=e817c999-7f44-4916-bda6-3ce9fb56c2c0"
"24-25 Jun 2023";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom CUP 2023";"";"Ski Caraibes A...";"23FRA003";"";"https://ems.iwwf.sport/Competitions/Details?Id=fac9e9f5-ed95-43b1-ba34-de8ea42212d1"
"8-9 Jul 2023";"Waterski";"INTER";"L";"FRA";"Ski Caraibes 3D- Championnats de Ligue AURA 2023";"";"Ski Caraibes A...";"23FRA004";"";"https://ems.iwwf.sport/Competitions/Details?Id=932dbfbd-902b-4a2d-a9e6-26d30d0a5907"
"14-15 Oct 2023 CANCELLED";"Waterski";"INTER";"L";"FRA";"Slalom Classic Memorial Pierre Carmin";"";"Lac de l'Arena...";"23FRA005";"";"https://ems.iwwf.sport/Competitions/Details?Id=4029c7e5-42d2-4574-a175-89d7198ae6f5"
"17-18 Jun 2023";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"23FRA006";"";"https://ems.iwwf.sport/Competitions/Details?Id=29adc371-8c57-4701-8b67-bc7863033098"
"7-8 Oct 2023";"Waterski";"INTER";"L";"FRA";"Baurech Classic";"";"Ski Nautique C...";"23FRA007";"";"https://ems.iwwf.sport/Competitions/Details?Id=6f163d56-f2d9-4869-b70b-a4bb26b16360"
"2-3 Sep 2023";"Waterski";"INTER";"L";"FRA";"AQUACUP";"";"Aqu'Aventure";"23FRA008";"";"https://ems.iwwf.sport/Competitions/Details?Id=56c870e4-53e8-467a-8d86-66cec3cee9c5"
"22-23 Jul 2023 CANCELLED";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC - ANNULE";"";"Ski Club Nauti...";"23FRA009";"";"https://ems.iwwf.sport/Competitions/Details?Id=0eb1cb2d-93ff-4abd-95f9-4624a6b9fc52"
"17-18 Jun 2023";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"23FRA010";"";"https://ems.iwwf.sport/Competitions/Details?Id=7bc4dc0b-6a01-4ebd-bfc7-129c5b6b879b"
