AthleteRankAscending;AthletePopulationPercent;CumulativeActivity;CumulativeActivityPercent
0;0.0;0;0.0
1;0.33;1;0.06
2;0.66;2;0.12
3;0.99;3;0.18
4;1.32;4;0.24
5;1.66;5;0.3
6;1.99;6;0.36
7;2.32;7;0.42
8;2.65;8;0.48
9;2.98;9;0.55
10;3.31;10;0.61
11;3.64;11;0.67
12;3.97;12;0.73
13;4.3;13;0.79
14;4.64;14;0.85
15;4.97;15;0.91
16;5.3;16;0.97
17;5.63;17;1.03
18;5.96;18;1.09
19;6.29;19;1.15
20;6.62;20;1.21
21;6.95;21;1.27
22;7.28;22;1.33
23;7.62;23;1.39
24;7.95;24;1.45
25;8.28;25;1.51
26;8.61;26;1.57
27;8.94;27;1.64
28;9.27;28;1.7
29;9.6;29;1.76
30;9.93;30;1.82
31;10.26;31;1.88
32;10.6;32;1.94
33;10.93;33;2.0
34;11.26;34;2.06
35;11.59;35;2.12
36;11.92;36;2.18
37;12.25;37;2.24
38;12.58;38;2.3
39;12.91;39;2.36
40;13.25;40;2.42
41;13.58;41;2.48
42;13.91;42;2.54
43;14.24;43;2.6
44;14.57;44;2.67
45;14.9;45;2.73
46;15.23;46;2.79
47;15.56;47;2.85
48;15.89;48;2.91
49;16.23;49;2.97
50;16.56;50;3.03
51;16.89;51;3.09
52;17.22;52;3.15
53;17.55;53;3.21
54;17.88;54;3.27
55;18.21;55;3.33
56;18.54;56;3.39
57;18.87;57;3.45
58;19.21;58;3.51
59;19.54;59;3.57
60;19.87;60;3.63
61;20.2;61;3.69
62;20.53;62;3.76
63;20.86;63;3.82
64;21.19;64;3.88
65;21.52;65;3.94
66;21.85;66;4.0
67;22.19;67;4.06
68;22.52;68;4.12
69;22.85;69;4.18
70;23.18;70;4.24
71;23.51;71;4.3
72;23.84;72;4.36
73;24.17;73;4.42
74;24.5;74;4.48
75;24.83;75;4.54
76;25.17;76;4.6
77;25.5;77;4.66
78;25.83;78;4.72
79;26.16;79;4.78
80;26.49;80;4.85
81;26.82;81;4.91
82;27.15;83;5.03
83;27.48;85;5.15
84;27.81;87;5.27
85;28.15;89;5.39
86;28.48;91;5.51
87;28.81;93;5.63
88;29.14;95;5.75
89;29.47;97;5.88
90;29.8;99;6.0
91;30.13;101;6.12
92;30.46;103;6.24
93;30.79;105;6.36
94;31.13;107;6.48
95;31.46;109;6.6
96;31.79;111;6.72
97;32.12;113;6.84
98;32.45;115;6.97
99;32.78;117;7.09
100;33.11;119;7.21
101;33.44;121;7.33
102;33.77;123;7.45
103;34.11;125;7.57
104;34.44;127;7.69
105;34.77;129;7.81
106;35.1;131;7.93
107;35.43;133;8.06
108;35.76;135;8.18
109;36.09;137;8.3
110;36.42;139;8.42
111;36.75;141;8.54
112;37.09;143;8.66
113;37.42;145;8.78
114;37.75;147;8.9
115;38.08;149;9.02
116;38.41;151;9.15
117;38.74;153;9.27
118;39.07;155;9.39
119;39.4;157;9.51
120;39.74;159;9.63
121;40.07;161;9.75
122;40.4;163;9.87
123;40.73;165;9.99
124;41.06;167;10.12
125;41.39;169;10.24
126;41.72;172;10.42
127;42.05;175;10.6
128;42.38;178;10.78
129;42.72;181;10.96
130;43.05;184;11.14
131;43.38;187;11.33
132;43.71;190;11.51
133;44.04;193;11.69
134;44.37;196;11.87
135;44.7;199;12.05
136;45.03;202;12.24
137;45.36;205;12.42
138;45.7;208;12.6
139;46.03;211;12.78
140;46.36;214;12.96
141;46.69;217;13.14
142;47.02;220;13.33
143;47.35;223;13.51
144;47.68;226;13.69
145;48.01;229;13.87
146;48.34;232;14.05
147;48.68;235;14.23
148;49.01;238;14.42
149;49.34;241;14.6
150;49.67;244;14.78
151;50.0;247;14.96
152;50.33;250;15.14
153;50.66;253;15.32
154;50.99;256;15.51
155;51.32;260;15.75
156;51.66;264;15.99
157;51.99;268;16.23
158;52.32;272;16.47
159;52.65;276;16.72
160;52.98;280;16.96
161;53.31;284;17.2
162;53.64;288;17.44
163;53.97;292;17.69
164;54.3;296;17.93
165;54.64;300;18.17
166;54.97;304;18.41
167;55.3;308;18.66
168;55.63;312;18.9
169;55.96;316;19.14
170;56.29;320;19.38
171;56.62;324;19.62
172;56.95;328;19.87
173;57.28;332;20.11
174;57.62;336;20.35
175;57.95;341;20.65
176;58.28;346;20.96
177;58.61;351;21.26
178;58.94;356;21.56
179;59.27;361;21.87
180;59.6;366;22.17
181;59.93;371;22.47
182;60.26;376;22.77
183;60.6;381;23.08
184;60.93;386;23.38
185;61.26;391;23.68
186;61.59;396;23.99
187;61.92;401;24.29
188;62.25;406;24.59
189;62.58;411;24.89
190;62.91;416;25.2
191;63.25;421;25.5
192;63.58;426;25.8
193;63.91;431;26.11
194;64.24;436;26.41
195;64.57;441;26.71
196;64.9;446;27.01
197;65.23;451;27.32
198;65.56;456;27.62
199;65.89;461;27.92
200;66.23;467;28.29
201;66.56;473;28.65
202;66.89;479;29.01
203;67.22;485;29.38
204;67.55;491;29.74
205;67.88;497;30.1
206;68.21;503;30.47
207;68.54;509;30.83
208;68.87;515;31.19
209;69.21;522;31.62
210;69.54;529;32.04
211;69.87;536;32.47
212;70.2;543;32.89
213;70.53;550;33.31
214;70.86;557;33.74
215;71.19;564;34.16
216;71.52;571;34.59
217;71.85;578;35.01
218;72.19;585;35.43
219;72.52;592;35.86
220;72.85;599;36.28
221;73.18;606;36.71
222;73.51;613;37.13
223;73.84;620;37.55
224;74.17;628;38.04
225;74.5;636;38.52
226;74.83;644;39.01
227;75.17;652;39.49
228;75.5;660;39.98
229;75.83;668;40.46
230;76.16;676;40.94
231;76.49;684;41.43
232;76.82;692;41.91
233;77.15;700;42.4
234;77.48;709;42.94
235;77.81;718;43.49
236;78.15;727;44.03
237;78.48;736;44.58
238;78.81;745;45.12
239;79.14;754;45.67
240;79.47;763;46.21
241;79.8;772;46.76
242;80.13;781;47.3
243;80.46;790;47.85
244;80.79;799;48.39
245;81.13;808;48.94
246;81.46;818;49.55
247;81.79;828;50.15
248;82.12;838;50.76
249;82.45;848;51.36
250;82.78;858;51.97
251;83.11;868;52.57
252;83.44;878;53.18
253;83.77;888;53.79
254;84.11;898;54.39
255;84.44;908;55.0
256;84.77;918;55.6
257;85.1;928;56.21
258;85.43;939;56.87
259;85.76;950;57.54
260;86.09;961;58.21
261;86.42;972;58.87
262;86.75;983;59.54
263;87.09;994;60.21
264;87.42;1006;60.93
265;87.75;1018;61.66
266;88.08;1030;62.39
267;88.41;1042;63.11
268;88.74;1054;63.84
269;89.07;1066;64.57
270;89.4;1079;65.35
271;89.74;1092;66.14
272;90.07;1105;66.93
273;90.4;1118;67.72
274;90.73;1131;68.5
275;91.06;1144;69.29
276;91.39;1158;70.14
277;91.72;1172;70.99
278;92.05;1186;71.84
279;92.38;1200;72.68
280;92.72;1215;73.59
281;93.05;1230;74.5
282;93.38;1245;75.41
283;93.71;1260;76.32
284;94.04;1275;77.23
285;94.37;1291;78.2
286;94.7;1307;79.16
287;95.03;1324;80.19
288;95.36;1341;81.22
289;95.7;1358;82.25
290;96.03;1375;83.28
291;96.36;1392;84.31
292;96.69;1410;85.4
293;97.02;1428;86.49
294;97.35;1448;87.7
295;97.68;1468;88.92
296;98.01;1489;90.19
297;98.34;1511;91.52
298;98.68;1535;92.97
299;99.01;1560;94.49
300;99.34;1586;96.06
301;99.67;1618;98.0
302;100.0;1651;100.0
