Dimension;Group;Athletes2024;Present2025;Absent2025;RetentionRatePercent;MeanCompetitions2024;MeanDisciplineCount
COHORT;ALREADY_PRESENT_2023;140;115;25;82.1;3.29;1.59
COHORT;NEW_IN_2024_WINDOW;51;23;28;45.1;1.69;1.37
DISCIPLINE_COUNT;1;130;88;42;67.7;2.49;1.0
DISCIPLINE_COUNT;2;20;17;3;85.0;2.95;2.0
DISCIPLINE_COUNT;3;41;33;8;80.5;4.0;3.0
DISCIPLINE_PROFILE;FIGURES_ONLY;7;2;5;28.6;2.14;1.0
DISCIPLINE_PROFILE;SAUT_ONLY;6;4;2;66.7;2.0;1.0
DISCIPLINE_PROFILE;SLALOM+FIGURES;15;13;2;86.7;3.33;2.0
DISCIPLINE_PROFILE;SLALOM+FIGURES+SAUT;41;33;8;80.5;4.0;3.0
DISCIPLINE_PROFILE;SLALOM+SAUT;5;4;1;80.0;1.8;2.0
DISCIPLINE_PROFILE;SLALOM_ONLY;117;82;35;70.1;2.54;1.0
COHORT_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|1;91;71;20;78.0;2.86;1.0
COHORT_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|2;15;13;2;86.7;3.6;2.0
COHORT_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|3;34;31;3;91.2;4.32;3.0
COHORT_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|1;39;17;22;43.6;1.64;1.0
COHORT_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|2;5;4;1;80.0;1.0;2.0
COHORT_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|3;7;2;5;28.6;2.43;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|1_COMPETITION|1;28;21;7;75.0;1.0;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|1_COMPETITION|2;1;1;0;100.0;1.0;2.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|1_COMPETITION|3;3;1;2;33.3;1.0;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|2_COMPETITIONS|1;22;16;6;72.7;2.0;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|2_COMPETITIONS|2;5;3;2;60.0;2.0;2.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|2_COMPETITIONS|3;6;5;1;83.3;2.0;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|3_4_COMPETITIONS|1;23;17;6;73.9;3.35;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|3_4_COMPETITIONS|2;4;4;0;100.0;3.75;2.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|3_4_COMPETITIONS|3;12;12;0;100.0;3.58;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|5_PLUS_COMPETITIONS|1;18;17;1;94.4;6.17;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|5_PLUS_COMPETITIONS|2;5;5;0;100.0;5.6;2.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;ALREADY_PRESENT_2023|5_PLUS_COMPETITIONS|3;13;13;0;100.0;6.85;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|1_COMPETITION|1;25;8;17;32.0;1.0;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|1_COMPETITION|2;5;4;1;80.0;1.0;2.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|1_COMPETITION|3;4;0;4;0.0;1.0;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|2_COMPETITIONS|1;8;3;5;37.5;2.0;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|2_COMPETITIONS|3;1;0;1;0.0;2.0;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|3_4_COMPETITIONS|1;5;5;0;100.0;3.6;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|3_4_COMPETITIONS|3;1;1;0;100.0;4.0;3.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|5_PLUS_COMPETITIONS|1;1;1;0;100.0;5.0;1.0
COHORT_X_INTENSITY_X_DISCIPLINE_COUNT;NEW_IN_2024_WINDOW|5_PLUS_COMPETITIONS|3;1;1;0;100.0;7.0;3.0
