FidelityProfile;IntensityProfile;Athletes;ShareWithinFidelityProfilePercent;ShareOfTotalPoolPercent
CORE_3_YEARS;OCCASIONAL;26;22.6;8.6
CORE_3_YEARS;REGULAR;51;44.3;16.9
CORE_3_YEARS;HIGHLY_ACTIVE;38;33.0;12.6
TWO_YEARS_2023_2024;OCCASIONAL;8;32.0;2.6
TWO_YEARS_2023_2024;REGULAR;15;60.0;5.0
TWO_YEARS_2023_2024;HIGHLY_ACTIVE;2;8.0;0.7
TWO_YEARS_2024_2025;OCCASIONAL;12;52.2;4.0
TWO_YEARS_2024_2025;REGULAR;7;30.4;2.3
TWO_YEARS_2024_2025;HIGHLY_ACTIVE;4;17.4;1.3
RETURN_AFTER_GAP;OCCASIONAL;9;60.0;3.0
RETURN_AFTER_GAP;REGULAR;6;40.0;2.0
ONE_SEASON_2023;OCCASIONAL;28;54.9;9.3
ONE_SEASON_2023;REGULAR;18;35.3;6.0
ONE_SEASON_2023;HIGHLY_ACTIVE;5;9.8;1.7
ONE_SEASON_2024;OCCASIONAL;22;78.6;7.3
ONE_SEASON_2024;REGULAR;6;21.4;2.0
ONE_SEASON_2025;OCCASIONAL;31;68.9;10.3
ONE_SEASON_2025;REGULAR;12;26.7;4.0
ONE_SEASON_2025;HIGHLY_ACTIVE;2;4.4;0.7
