"Category";"Rows";"Athletes"
"-10 F (10)";"6";"3"
"-10 F (10) Div 1";"1";"1"
"-10 F (9)";"4";"4"
"-10 M (10)";"18";"8"
"-10 M (9)";"4";"2"
"-12 F (11)";"6";"2"
"-12 F (12)";"9";"6"
"-12 M (11)";"16";"7"
"-12 M (12)";"14";"7"
"-14 F (12)";"1";"1"
"-14 F (13)";"20";"5"
"-14 F (14)";"19";"7"
"-14 M (11)";"2";"1"
"-14 M (12)";"5";"1"
"-14 M (13)";"20";"7"
"-14 M (14)";"21";"7"
"-17 F (1)";"1";"1"
"-17 F (14)";"4";"3"
"-17 F (15)";"23";"8"
"-17 F (16)";"13";"6"
"-17 F (16) Div 1";"2";"1"
"-17 F (17)";"9";"6"
"-17 F (17) Div 1";"1";"1"
"-17 M (14)";"4";"4"
"-17 M (15)";"31";"12"
"-17 M (15) Div 1";"2";"1"
"-17 M (16)";"33";"14"
"-17 M (16) Div 1";"3";"2"
"-17 M (17)";"22";"8"
"-17 M (17) Div 1";"2";"1"
"-17 M (3)";"1";"1"
"-21 F (14)";"1";"1"
"-21 F (17)";"2";"2"
"-21 F (18)";"7";"5"
"-21 F (19)";"9";"4"
"-21 F (20)";"3";"2"
"-21 F (20) Div 1";"2";"1"
"-21 F (21)";"15";"5"
"-21 F (21) Div 1";"2";"2"
"-21 M (15)";"1";"1"
"-21 M (16)";"2";"2"
"-21 M (17)";"2";"1"
"-21 M (18)";"13";"6"
"-21 M (19)";"23";"8"
"-21 M (19) Div 1";"4";"3"
"-21 M (20)";"30";"11"
"-21 M (21)";"17";"8"
"-21 M (21) Div 1";"1";"1"
"35+ F (36)";"3";"2"
"35+ F (37)";"5";"1"
"35+ F (38)";"5";"1"
"35+ F (39)";"3";"2"
"35+ F (39) Div 1";"1";"1"
"35+ F (40)";"7";"1"
"35+ F (41)";"5";"1"
"35+ F (42)";"3";"1"
"35+ F (43)";"1";"1"
"35+ F (44)";"5";"3"
"35+ M (36)";"1";"1"
"35+ M (37)";"2";"2"
