"Year";"CompetitionCode";"CompetitionName"
"2023";"23FRA001";"MALIBU OPEN LACANAU"
"2023";"23FRA004";"Ski Caraibes 3D- Championnats de Ligue AURA 2023"
"2023";"23FRA017";"Championnat de France RELEVE 2023"
"2023";"23FRA018";"Championnat de France 2023 - U21 + OPEN"
"2023";"23FRA020";"Championnat de France INTERLIGUES 2023"
"2023";"23FRA023";"Championnat de France SENIOR 2023"
"2023";"23FRA027";"Championnats de Ligue Ile de France"
"2023";"23FRA033";"Memorial M.Naudinat Ch de Ligue NAQU"
"2023";"23FRA034";"Championnats du Mont de Laroche"
"2023";"23FRA035";"Championnat de ligue OCC Ski Classique"
"2024";"24FRA008";"Grand Prix de Marcillac - Championnat de Ligue NAQUA"
"2024";"24FRA012";"Championnat Ligue Grand Est et Coupe Richard Odin"
"2024";"24FRA013";"Championnats de ligue BFC"
"2024";"24FRA022";"Championnat de ligue OCC Ski Classique"
"2024";"24FRA026";"Championnat de France RELEVES"
"2024";"24FRA027";"Championnat de France U21 + OPEN"
"2024";"24FRA034";"Championnat de France SENIOR"
"2025";"25FRA005";"MALIBU OPEN"
"2025";"25FRA016";"Championnat de France RELEVES 2025"
"2025";"25FRA018";"Championnat de France SENIOR 2025"
"2025";"25FRA019";"Championnats du mont de Laroche"
"2025";"25FRA023";"Tours 3D Event - Championnat de ligue CVL"
"2025";"25FRA024";"Biggie's International + senior tour stop 4"
"2025";"25FRA026";"Coupe du pays de Montbeliard- Championnat Ligue BFC"
"2025";"25FRA037";"Championnat Ligue Grand Est et Coupe Richard Odin"
"2025";"25FRA206";"Championnat de France U21 + OPEN"
"2025";"25FRA208";"Championnat de Ligue AURA 2025"
"2025";"25FRA217";"New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat"
