Year;FidelityProfile;ActiveAthletes;ShareOfAnnualAthletesPercent;CompetitionParticipations;ShareOfAnnualCompetitionsPercent;MeanCompetitionsPerActiveAthlete
2023;CORE_3_YEARS;115;55.8;384;68.2;3.34
2023;TWO_YEARS_2023_2024;25;12.1;63;11.2;2.52
2023;RETURN_AFTER_GAP;15;7.3;27;4.8;1.8
2023;ONE_SEASON_2023;51;24.8;89;15.8;1.75
2024;CORE_3_YEARS;115;60.2;410;75.0;3.57
2024;TWO_YEARS_2023_2024;25;13.1;51;9.3;2.04
2024;TWO_YEARS_2024_2025;23;12.0;52;9.5;2.26
2024;ONE_SEASON_2024;28;14.7;34;6.2;1.21
2025;CORE_3_YEARS;115;58.1;392;72.5;3.41
2025;TWO_YEARS_2024_2025;23;11.6;58;10.7;2.52
2025;RETURN_AFTER_GAP;15;7.6;24;4.4;1.6
2025;ONE_SEASON_2025;45;22.7;67;12.4;1.49
