Dimension;EntryGroup;FidelityProfile;Athletes;ShareWithinEntryGroupPercent;EntryGroupTotal
ALL;ALL;CORE_3_YEARS;115;38.1;302
ALL;ALL;TWO_YEARS_2023_2024;25;8.3;302
ALL;ALL;TWO_YEARS_2024_2025;23;7.6;302
ALL;ALL;RETURN_AFTER_GAP;15;5.0;302
ALL;ALL;ONE_SEASON_2023;51;16.9;302
ALL;ALL;ONE_SEASON_2024;28;9.3;302
ALL;ALL;ONE_SEASON_2025;45;14.9;302
SEX;F;CORE_3_YEARS;31;37.8;82
SEX;F;TWO_YEARS_2023_2024;9;11.0;82
SEX;F;TWO_YEARS_2024_2025;6;7.3;82
SEX;F;RETURN_AFTER_GAP;3;3.7;82
SEX;F;ONE_SEASON_2023;15;18.3;82
SEX;F;ONE_SEASON_2024;6;7.3;82
SEX;F;ONE_SEASON_2025;12;14.6;82
SEX;M;CORE_3_YEARS;84;38.2;220
SEX;M;TWO_YEARS_2023_2024;16;7.3;220
SEX;M;TWO_YEARS_2024_2025;17;7.7;220
SEX;M;RETURN_AFTER_GAP;12;5.5;220
SEX;M;ONE_SEASON_2023;36;16.4;220
SEX;M;ONE_SEASON_2024;22;10.0;220
SEX;M;ONE_SEASON_2025;33;15.0;220
AGE_BAND;RELEVES;CORE_3_YEARS;18;45.0;40
AGE_BAND;RELEVES;TWO_YEARS_2023_2024;1;2.5;40
AGE_BAND;RELEVES;TWO_YEARS_2024_2025;5;12.5;40
AGE_BAND;RELEVES;RETURN_AFTER_GAP;2;5.0;40
AGE_BAND;RELEVES;ONE_SEASON_2023;9;22.5;40
AGE_BAND;RELEVES;ONE_SEASON_2024;2;5.0;40
AGE_BAND;RELEVES;ONE_SEASON_2025;3;7.5;40
AGE_BAND;JUNIOR;CORE_3_YEARS;10;41.7;24
AGE_BAND;JUNIOR;TWO_YEARS_2023_2024;2;8.3;24
AGE_BAND;JUNIOR;TWO_YEARS_2024_2025;1;4.2;24
AGE_BAND;JUNIOR;RETURN_AFTER_GAP;1;4.2;24
AGE_BAND;JUNIOR;ONE_SEASON_2023;4;16.7;24
AGE_BAND;JUNIOR;ONE_SEASON_2024;3;12.5;24
AGE_BAND;JUNIOR;ONE_SEASON_2025;3;12.5;24
AGE_BAND;U21;CORE_3_YEARS;10;38.5;26
AGE_BAND;U21;TWO_YEARS_2023_2024;4;15.4;26
AGE_BAND;U21;TWO_YEARS_2024_2025;1;3.8;26
AGE_BAND;U21;RETURN_AFTER_GAP;2;7.7;26
AGE_BAND;U21;ONE_SEASON_2023;3;11.5;26
AGE_BAND;U21;ONE_SEASON_2024;2;7.7;26
AGE_BAND;U21;ONE_SEASON_2025;4;15.4;26
AGE_BAND;OPEN;CORE_3_YEARS;13;22.4;58
AGE_BAND;OPEN;TWO_YEARS_2023_2024;6;10.3;58
AGE_BAND;OPEN;TWO_YEARS_2024_2025;5;8.6;58
AGE_BAND;OPEN;RETURN_AFTER_GAP;4;6.9;58
AGE_BAND;OPEN;ONE_SEASON_2023;12;20.7;58
AGE_BAND;OPEN;ONE_SEASON_2024;5;8.6;58
AGE_BAND;OPEN;ONE_SEASON_2025;13;22.4;58
AGE_BAND;SENIOR;CORE_3_YEARS;64;41.6;154
AGE_BAND;SENIOR;TWO_YEARS_2023_2024;12;7.8;154
AGE_BAND;SENIOR;TWO_YEARS_2024_2025;11;7.1;154
AGE_BAND;SENIOR;RETURN_AFTER_GAP;6;3.9;154
AGE_BAND;SENIOR;ONE_SEASON_2023;23;14.9;154
AGE_BAND;SENIOR;ONE_SEASON_2024;16;10.4;154
AGE_BAND;SENIOR;ONE_SEASON_2025;22;14.3;154
SEX_X_AGE_BAND;F|RELEVES;CORE_3_YEARS;7;43.8;16
SEX_X_AGE_BAND;F|RELEVES;TWO_YEARS_2024_2025;2;12.5;16
SEX_X_AGE_BAND;F|RELEVES;RETURN_AFTER_GAP;1;6.2;16
SEX_X_AGE_BAND;F|RELEVES;ONE_SEASON_2023;4;25.0;16
SEX_X_AGE_BAND;F|RELEVES;ONE_SEASON_2024;1;6.2;16
SEX_X_AGE_BAND;F|RELEVES;ONE_SEASON_2025;1;6.2;16
SEX_X_AGE_BAND;F|JUNIOR;CORE_3_YEARS;4;44.4;9
SEX_X_AGE_BAND;F|JUNIOR;TWO_YEARS_2023_2024;2;22.2;9
