FromYear;ToYear;Population;IntensityBand;OriginAthletes;RetainedAthletes;ExitedAthletes;RetentionRatePercent
2023;2024;ALL;1_COMPETITION;57;23;34;40.4
2023;2024;ALL;2_COMPETITIONS;66;45;21;68.2
2023;2024;ALL;3_4_COMPETITIONS;52;42;10;80.8
2023;2024;ALL;5_PLUS_COMPETITIONS;31;30;1;96.8
2023;2024;RELEVES;1_COMPETITION;13;5;8;38.5
2023;2024;RELEVES;2_COMPETITIONS;4;2;2;50.0
2023;2024;RELEVES;3_4_COMPETITIONS;7;7;0;100.0
2023;2024;RELEVES;5_PLUS_COMPETITIONS;6;5;1;83.3
2023;2024;JUNIOR;1_COMPETITION;6;3;3;50.0
2023;2024;JUNIOR;2_COMPETITIONS;3;3;0;100.0
2023;2024;JUNIOR;3_4_COMPETITIONS;4;2;2;50.0
2023;2024;JUNIOR;5_PLUS_COMPETITIONS;4;4;0;100.0
2023;2024;U21;1_COMPETITION;4;3;1;75.0
2023;2024;U21;2_COMPETITIONS;7;5;2;71.4
2023;2024;U21;3_4_COMPETITIONS;5;3;2;60.0
2023;2024;U21;5_PLUS_COMPETITIONS;3;3;0;100.0
2023;2024;OPEN;1_COMPETITION;10;1;9;10.0
2023;2024;OPEN;2_COMPETITIONS;13;9;4;69.2
2023;2024;OPEN;3_4_COMPETITIONS;8;5;3;62.5
2023;2024;OPEN;5_PLUS_COMPETITIONS;4;4;0;100.0
2023;2024;SENIOR;1_COMPETITION;24;11;13;45.8
2023;2024;SENIOR;2_COMPETITIONS;39;26;13;66.7
2023;2024;SENIOR;3_4_COMPETITIONS;28;25;3;89.3
2023;2024;SENIOR;5_PLUS_COMPETITIONS;14;14;0;100.0
2024;2025;ALL;1_COMPETITION;66;35;31;53.0
2024;2025;ALL;2_COMPETITIONS;42;27;15;64.3
2024;2025;ALL;3_4_COMPETITIONS;45;39;6;86.7
2024;2025;ALL;5_PLUS_COMPETITIONS;38;37;1;97.4
2024;2025;RELEVES;1_COMPETITION;9;6;3;66.7
2024;2025;RELEVES;2_COMPETITIONS;3;3;0;100.0
2024;2025;RELEVES;3_4_COMPETITIONS;4;4;0;100.0
2024;2025;RELEVES;5_PLUS_COMPETITIONS;6;6;0;100.0
2024;2025;JUNIOR;1_COMPETITION;7;4;3;57.1
2024;2025;JUNIOR;2_COMPETITIONS;5;4;1;80.0
2024;2025;JUNIOR;3_4_COMPETITIONS;5;5;0;100.0
2024;2025;JUNIOR;5_PLUS_COMPETITIONS;1;1;0;100.0
2024;2025;U21;1_COMPETITION;9;4;5;44.4
2024;2025;U21;2_COMPETITIONS;2;1;1;50.0
2024;2025;U21;5_PLUS_COMPETITIONS;4;4;0;100.0
2024;2025;OPEN;1_COMPETITION;10;6;4;60.0
2024;2025;OPEN;2_COMPETITIONS;10;4;6;40.0
2024;2025;OPEN;3_4_COMPETITIONS;4;3;1;75.0
2024;2025;OPEN;5_PLUS_COMPETITIONS;7;7;0;100.0
2024;2025;SENIOR;1_COMPETITION;31;15;16;48.4
2024;2025;SENIOR;2_COMPETITIONS;22;15;7;68.2
2024;2025;SENIOR;3_4_COMPETITIONS;32;27;5;84.4
2024;2025;SENIOR;5_PLUS_COMPETITIONS;20;19;1;95.0
