FromYear;ToYear;Dimension;Group;PreviousAthletes;RetainedAthletes;ExitedAthletes;RetentionRatePercent;CurrentAthletes;EntrantAthletes;EntrantShareOfCurrentPercent
2023;2024;ALL;ALL;206;140;66;68.0;191;51;26.7
2023;2024;SEX;F;58;40;18;69.0;52;12;23.1
2023;2024;SEX;M;148;100;48;67.6;139;39;28.1
2023;2024;AGE_BAND;RELEVES;30;19;11;63.3;22;7;31.8
2023;2024;AGE_BAND;JUNIOR;17;12;5;70.6;18;4;22.2
2023;2024;AGE_BAND;U21;19;14;5;73.7;15;3;20.0
2023;2024;AGE_BAND;OPEN;35;19;16;54.3;31;10;32.3
2023;2024;AGE_BAND;SENIOR;105;76;29;72.4;105;27;25.7
2023;2024;SEX_X_AGE_BAND;F|RELEVES;12;7;5;58.3;9;3;33.3
2023;2024;SEX_X_AGE_BAND;F|JUNIOR;6;6;0;100.0;7;2;28.6
2023;2024;SEX_X_AGE_BAND;F|U21;7;4;3;57.1;4;0;0.0
2023;2024;SEX_X_AGE_BAND;F|OPEN;12;7;5;58.3;10;1;10.0
2023;2024;SEX_X_AGE_BAND;F|SENIOR;21;16;5;76.2;22;6;27.3
2023;2024;SEX_X_AGE_BAND;M|RELEVES;18;12;6;66.7;13;4;30.8
2023;2024;SEX_X_AGE_BAND;M|JUNIOR;11;6;5;54.5;11;2;18.2
2023;2024;SEX_X_AGE_BAND;M|U21;12;10;2;83.3;11;3;27.3
2023;2024;SEX_X_AGE_BAND;M|OPEN;23;12;11;52.2;21;9;42.9
2023;2024;SEX_X_AGE_BAND;M|SENIOR;84;60;24;71.4;83;21;25.3
2024;2025;ALL;ALL;191;138;53;72.3;198;60;30.3
2024;2025;SEX;F;52;37;15;71.2;52;15;28.8
2024;2025;SEX;M;139;101;38;72.7;146;45;30.8
2024;2025;AGE_BAND;RELEVES;22;19;3;86.4;18;4;22.2
2024;2025;AGE_BAND;JUNIOR;18;14;4;77.8;19;4;21.1
2024;2025;AGE_BAND;U21;15;9;6;60.0;17;6;35.3
2024;2025;AGE_BAND;OPEN;31;20;11;64.5;37;16;43.2
2024;2025;AGE_BAND;SENIOR;105;76;29;72.4;107;30;28.0
2024;2025;SEX_X_AGE_BAND;F|RELEVES;9;8;1;88.9;7;2;28.6
2024;2025;SEX_X_AGE_BAND;F|JUNIOR;7;5;2;71.4;7;1;14.3
2024;2025;SEX_X_AGE_BAND;F|U21;4;2;2;50.0;5;2;40.0
2024;2025;SEX_X_AGE_BAND;F|OPEN;10;8;2;80.0;13;4;30.8
2024;2025;SEX_X_AGE_BAND;F|SENIOR;22;14;8;63.6;20;6;30.0
2024;2025;SEX_X_AGE_BAND;M|RELEVES;13;11;2;84.6;11;2;18.2
2024;2025;SEX_X_AGE_BAND;M|JUNIOR;11;9;2;81.8;12;3;25.0
2024;2025;SEX_X_AGE_BAND;M|U21;11;7;4;63.6;12;4;33.3
2024;2025;SEX_X_AGE_BAND;M|OPEN;21;12;9;57.1;24;12;50.0
2024;2025;SEX_X_AGE_BAND;M|SENIOR;83;62;21;74.7;87;24;27.6
