Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;TotalApproved;FrenchApproved;ForeignApproved;FrenchSharePercent;UniqueAthletes;UniqueFrench
2022;22FRA012;10-11 Sep 2022;PARIS - Viry Lake's challenge;INTER;1;0;1;0.0;1;0
2022;22FRA018;10-11 Sep 2022;Lacanau ski classic;INTER;48;30;18;62.5;48;30
2022;22FRA003;11-12 Jun 2022;TROPHEE DES JOLIES FILLES;INTER;1;0;1;0.0;1;0
2022;22FRA014;11-12 Jun 2022;Bordeaux Slalom Cup;INTER;1;0;1;0.0;1;0
2022;22FRA013;13-14 Aug 2022;The Fungliss 3.0;INTER;26;14;12;53.8;26;14
2022;22FRA029;13-14 Jul 2022;Championnats de France SENIOR;NatCH;1;0;1;0.0;1;0
2022;22FRA025;15-16 Oct 2022;Freezing Magic Cup;INTER;1;0;1;0.0;1;0
2022;22FRA038;17 Aug 2022;St Pardoux Contest;NAT;5;5;0;100.0;5;5
2022;22FRA001;18-19 Jun 2022;THE FUNGLISS PRO AM;INTER;1;0;1;0.0;1;0
2022;22FRA031;18-20 Jul 2022;Championnat de France OPEN U21;NatCH;1;0;1;0.0;1;0
2022;22FRA023;2-3 Jul 2022;Ch Ligue NAQU - Mémorial Michel NAUDINAT;NAT;1;0;1;0.0;1;0
2022;22FRA026;2-3 Jul 2022;Vinney's Cup 22;INTER;1;0;1;0.0;1;0
2022;22FRA027;20-21 Aug 2022;Austin's Cup 22;INTER;43;18;25;41.9;43;18
2022;22FRA037;23-24 Jul 2022;GRAND PRIX DE MARCILLAC;INTER;34;23;11;67.6;34;23
2022;22FRA006;25-26 Jun 2022;LE PLAN D'EAU 3D 1/2;INTER;1;0;1;0.0;1;0
2022;22FRA009;25-26 Jun 2022;Championnats de Ligue Ile-de-France;INTER;1;0;1;0.0;1;0
2022;22FRA010;25-26 Jun 2022;Ski Caraibes Slalom CUP;INTER;1;0;1;0.0;1;0
2022;22FRA030;26-28 Aug 2022;Championnats de France RELEVES U10 to U17 - Championnat de Ligue BFC;NatCH;31;28;3;90.3;31;28
2022;22FRA015;27-28 Aug 2022;Baurech 3D;INTER;1;0;1;0.0;1;0
2022;22FRA017;28-29 May 2022;Magic Cup;INTER;1;0;1;0.0;1;0
2022;22FRA011;3-4 Sep 2022;Aqua'Cup;INTER;1;0;1;0.0;1;0
2022;22FRA021;3-4 Sep 2022;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;1;0;1;0.0;1;0
2022;22FRA022;3-4 Sep 2022;Championnat de ligue OCC Ski Classique;INTER;26;26;0;100.0;26;26
2022;22FRA007;30 Sep - 2 Oct 2022;LE PLAN D'EAU 3D 2/2;INTER;31;25;6;80.6;31;25
2022;22FRA028;30-31 Jul 2022;Coupe de Meuzac;INTER;1;0;1;0.0;1;0
2022;22FRA024;6-7 Aug 2022;Magic Ski Time;INTER;1;0;1;0.0;1;0
2022;22FRA002;8-10 Jul 2022;Malibu Open LACANAU proam 2022;INTER;1;0;1;0.0;1;0
2022;22FRA016;8-9 Oct 2022;Baurech Cup;INTER;1;0;1;0.0;1;0
