Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;IsOpenFrenchChampionship;OpenAthletes;DepthBand;MaintainedFromPreviousYear;EntrantsOrReturns;ReturnsAfterGap;NewInObservedWindow;RecentU21Athletes;OneCompetitionAthletes;OpenNextYear;OpenNextYearRatePercent;EntrantsOpenNextYear;EntrantNextYearRatePercent;AthleteKeys
2023;23FRA001;30 Jun - 2 Jul 2023;MALIBU OPEN LACANAU;INTER;R;Lacanau Ski Cl...;0;8;5_9;;;;;0;0;6;75.0;;;FRA|1983|BEAUFILS JULIEN | FRA|1989|JAMIN ROLAND | FRA|1991|COSTARD MANON | FRA|1992|DESCUNS SACHA | FRA|1996|BISCHOFBERGER ILLANA | FRA|1999|MOULANIER MARIE-LOU | FRA|2000|DUPLAN FRIBOURG LOUIS | FRA|2000|NEDEAU TANGUY
2023;23FRA002;1-2 Jul 2023;LE PLAN D'EAU 3D JUILLET;INTER;L;Club Omnisport...;0;3;3_4;;;;;0;0;3;100.0;;;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1994|PHILY LAURA
2023;23FRA003;24-25 Jun 2023;Ski Caraibes Slalom CUP 2023;INTER;L;Ski Caraibes A...;0;2;1_2;;;;;0;0;1;50.0;;;FRA|1996|GRAS MARINE | FRA|1998|ANGUENOT LEO
2023;23FRA004;8-9 Jul 2023;Ski Caraibes 3D- Championnats de Ligue AURA 2023;INTER;L;Ski Caraibes A...;0;2;1_2;;;;;0;0;1;50.0;;;FRA|1989|BALLON PIERRE | FRA|1996|GRAS MARINE
2023;23FRA006;17-18 Jun 2023;Bordeaux Slalom Cup;INTER;L;Ski Nautique C...;0;5;5_9;;;;;0;1;2;40.0;;;FRA|1983|BEAUFILS JULIEN | FRA|1989|JAMIN ROLAND | FRA|1994|VIRCOULON LAURENCE | FRA|1996|BISCHOFBERGER ILLANA | FRA|1999|MOULANIER MARIE-LOU
2023;23FRA007;7-8 Oct 2023;Baurech Classic;INTER;L;Ski Nautique C...;0;5;5_9;;;;;0;0;4;80.0;;;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1996|BISCHOFBERGER ILLANA | FRA|2001|MOREL BENJAMIN | FRA|2001|ROUSSELOT NICOLAS
2023;23FRA008;2-3 Sep 2023;AQUACUP;INTER;L;Aqu'Aventure;0;7;5_9;;;;;0;1;5;71.4;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1989|JAMIN ROLAND | FRA|1990|BOBIN YOANN | FRA|1991|DESFOND GREGOIRE | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1996|BISCHOFBERGER ILLANA
2023;23FRA010;17-18 Jun 2023;THE FUNGLISS PRO AM;INTER;R;FUNGLISS DOMMA...;0;7;5_9;;;;;0;1;4;57.1;;;FRA|1983|BARONI ALEXIS | FRA|1987|WELTER CLAIRE-LISE | FRA|1991|DESFOND GREGOIRE | FRA|1991|MARTINI MARIE | FRA|1992|DESCUNS SACHA | FRA|1994|BISCHOFBERGER OSCAR | FRA|1997|VIGEZZI ENZO
2023;23FRA011;20-21 May 2023;Magic Cup;INTER;L;Nemours Grez/l...;0;5;5_9;;;;;0;0;4;80.0;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1991|DESFOND GREGOIRE | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2001|ROUSSELOT NICOLAS
2023;23FRA012;14-15 Oct 2023;Freezing Magic Cup;INTER;L;Nemours Grez/l...;0;6;5_9;;;;;0;0;5;83.3;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1991|DESFOND GREGOIRE | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|D ANGLEJAN THOMAS | FRA|2001|ROUSSELOT NICOLAS
2023;23FRA013;26-27 Aug 2023;Coupe du pays de MONTBELIARD;INTER;L;Ski nautique M...;0;2;1_2;;;;;0;0;2;100.0;;;FRA|1995|GROISEAU AUDE | FRA|1995|PANTIGNY LILYAN
2023;23FRA014;9-10 Sep 2023;LACANAU SKI CLASSIC;INTER;L;Lacanau Ski Cl...;0;8;5_9;;;;;0;2;5;62.5;;;FRA|1989|JAMIN ROLAND | FRA|1989|PASQUALINI AYMERIC | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1996|BISCHOFBERGER ILLANA | FRA|1999|CALEN JULIAN | FRA|2000|NEDEAU TANGUY | FRA|2001|MOREL BENJAMIN
2023;23FRA015;8-9 Jul 2023;Vinney's Cup 23;INTER;L;Ski Nautique C...;0;1;1_2;;;;;0;0;1;100.0;;;FRA|1994|PHILY LAURA
2023;23FRA016;5-6 Aug 2023;Austin's Cup 23;INTER;L;Ski Nautique C...;0;2;1_2;;;;;0;0;1;50.0;;;FRA|1983|BARONI ALEXIS | FRA|1999|MIERMONT LEA
2023;23FRA018;18-19 Jul 2023;Championnat de France 2023 - U21 + OPEN;NatCH;R;Ski Nautique C...;1;18;10_PLUS;;;;;0;2;13;72.2;;;FRA|1983|BARONI ALEXIS | FRA|1987|WELTER CLAIRE-LISE | FRA|1989|BALLON PIERRE | FRA|1989|JAMIN ROLAND | FRA|1990|DAILLAND THIBAUT | FRA|1991|COSTARD MANON | FRA|1991|MARTINI MARIE | FRA|1992|DESCUNS SACHA | FRA|1994|BISCHOFBERGER OSCAR | FRA|1994|PHILY LAURA | FRA|1995|DAUZONNE SACHA | FRA|1996|BISCHOFBERGER ILLANA | FRA|1996|DAILLAND TANGUY | FRA|1999|MIERMONT LEA | FRA|1999|MOULANIER MARIE-LOU | FRA|2000|DUPLAN FRIBOURG LOUIS | FRA|2000|NEDEAU TANGUY | FRA|2001|MOREL BENJAMIN
2023;23FRA019;28-30 Jul 2023;Coupe de Meuzac;INTER;L;BEACH SKI ACAD...;0;8;5_9;;;;;0;2;6;75.0;;;FRA|1989|JAMIN ROLAND | FRA|1991|MARTINI MARIE | FRA|1993|ROUSSET KILLIAN | FRA|1994|BISCHOFBERGER OSCAR | FRA|1994|COINTEPAS THOMAS | FRA|1998|ANGUENOT LEO | FRA|2000|NEDEAU TANGUY | FRA|2000|ROUSSET BLANDINE
2023;23FRA020;23-24 Sep 2023;Championnat de France INTERLIGUES 2023;NatCH;L;Moissac;0;4;3_4;;;;;1;1;2;50.0;;;FRA|1995|ROSSETTO TIMOTHEE | FRA|1996|BISCHOFBERGER ILLANA | FRA|2001|MIQUEL AUDE | FRA|2002|CONSTANS BASTIEN
2023;23FRA024;16-17 Sep 2023;Magic Ski Time;INTER;L;Nemours Grez/l...;0;3;3_4;;;;;0;0;3;100.0;;;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|D ANGLEJAN THOMAS
