Section;IndicatorCode;Period;Label;Numerator;Denominator;Value;Unit;Scope;Source;Interpretation;Status
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2017;Présences Open enregistrées au Championnat;;;28;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2018;Présences Open enregistrées au Championnat;;;18;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2019;Présences Open enregistrées au Championnat;;;24;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2020;Présences Open enregistrées au Championnat;;;21;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2021;Présences Open enregistrées au Championnat;;;17;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2022;Présences Open enregistrées au Championnat;;;30;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2023;Présences Open enregistrées au Championnat;;;21;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2024;Présences Open enregistrées au Championnat;;;19;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2025;Présences Open enregistrées au Championnat;;;15;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
OPEN_CHAMPIONNATS;OPEN_CHAMP_TOTAL;2026;Présences Open enregistrées au Championnat;;;12;sportifs;"Codes nationaux Open ; toutes nationalités présentes dans la base historique";renouvellement_open_championnats_2017_2026.csv;"Série de volume du bloc Open ; ne constitue pas une série française homogène avant 2023.";VALIDE
