AthleteKey;Name;Sex;YOB;Age2025;AgeProfile;OpenStatus2025;OpenCompetitions2025;IntensityBand2025;OpenChampionship2025;PhysicalDisciplinesOpen;PhysicalDisciplineCountOpen;HasU212025;HasSenior2025
FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;M;1994;31;22_34;MAINTENU_DEPUIS_2024;9;5_PLUS;1;;0;0;0
FRA|1991|MARTINI MARIE;MARTINI Marie;F;1991;34;22_34;MAINTENU_DEPUIS_2024;8;5_PLUS;1;;0;0;0
FRA|1999|MIERMONT LEA;MIERMONT Lea;F;1999;26;22_34;MAINTENU_DEPUIS_2024;6;5_PLUS;1;;0;0;0
FRA|1986|PIEDNOEL ANTOINE;PIEDNOEL Antoine;M;1986;39;35_PLUS;MAINTENU_DEPUIS_2024;6;5_PLUS;0;;0;0;0
FRA|1989|JAMIN ROLAND;JAMIN Roland;M;1989;36;35_PLUS;MAINTENU_DEPUIS_2024;5;5_PLUS;0;;0;0;0
FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;M;2001;24;22_34;MAINTENU_DEPUIS_2024;5;5_PLUS;1;;0;0;0
FRA|2002|WITCZAK THOMAS;WITCZAK Thomas;M;2002;23;22_34;NOUVEAU_DANS_FENETRE;5;5_PLUS;0;;0;0;0
FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;F;1996;29;22_34;MAINTENU_DEPUIS_2024;4;3_4_COMPETITIONS;0;;0;0;0
FRA|2000|D ANGLEJAN THOMAS;D ANGLEJAN Thomas;M;2000;25;22_34;MAINTENU_DEPUIS_2024;4;3_4_COMPETITIONS;0;;0;0;0
FRA|2002|LHOMMELET SACHA;LHOMMELET Sacha;M;2002;23;22_34;NOUVEAU_DANS_FENETRE;4;3_4_COMPETITIONS;0;;0;0;0
FRA|1989|PASQUALINI AYMERIC;PASQUALINI Aymeric;M;1989;36;35_PLUS;RETOUR_APRES_INTERRUPTION;4;3_4_COMPETITIONS;0;;0;0;0
FRA|1995|DELVAQUE CONSTANTIN;DELVAQUE Constantin;M;1995;30;22_34;MAINTENU_DEPUIS_2024;3;3_4_COMPETITIONS;0;;0;0;0
FRA|1990|DELVAQUE JEAN-GABRIEL;DELVAQUE Jean-Gabriel;M;1990;35;35_PLUS;MAINTENU_DEPUIS_2024;3;3_4_COMPETITIONS;0;;0;0;0
FRA|1992|DESCUNS SACHA;DESCUNS Sacha;M;1992;33;22_34;MAINTENU_DEPUIS_2024;3;3_4_COMPETITIONS;1;;0;0;0
FRA|1991|JACQUIER ROMAIN;JACQUIER Romain;M;1991;34;22_34;MAINTENU_DEPUIS_2024;3;3_4_COMPETITIONS;0;;0;0;0
FRA|2003|PAGET MARIE;PAGET Marie;F;2003;22;22_34;NOUVEAU_DANS_FENETRE;3;3_4_COMPETITIONS;0;;0;0;0
FRA|2002|SONIER PERRINE;SONIER Perrine;F;2002;23;22_34;MAINTENU_DEPUIS_2024;3;3_4_COMPETITIONS;1;;0;0;0
