Year;OpenAthletes;Women;Men;SimultaneousU21;RetainedFromPreviousYear;RetentionRatePercent;EntrantsOrReturns;ReturnsAfterGap;NewInObservedWindow;EntrantOrReturnSharePercent
2017;28;14;14;0;;;;;;
2018;18;8;10;3;8;28.6;10;0;10;55.6
2019;24;7;17;0;10;55.6;14;8;6;58.3
2020;21;8;13;5;13;54.2;8;2;6;38.1
2021;17;7;10;2;10;47.6;7;4;3;41.2
2022;30;11;19;0;12;70.6;18;9;9;60.0
2023;21;9;12;0;12;40.0;9;4;5;42.9
2024;19;9;10;0;11;52.4;8;6;2;42.1
2025;15;8;7;0;9;47.4;6;1;5;40.0
2026;12;7;5;0;6;40.0;6;4;2;50.0
