Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;Sex;Event;ClassifiedAll;ClassifiedFrench;ClassifiedForeign
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;F;SLALOM;1;1;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;M;FIGURES;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U10;M;SLALOM;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;F;COMBINE;1;1;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;F;FIGURES;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;F;SAUT;1;1;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;F;SLALOM;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;M;COMBINE;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;M;FIGURES;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;M;SAUT;2;2;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U12;M;SLALOM;3;2;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;F;COMBINE;3;3;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;F;FIGURES;3;3;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;F;SAUT;3;3;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;F;SLALOM;4;4;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;M;COMBINE;3;2;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;M;FIGURES;5;3;2
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;M;SAUT;3;2;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;M;SLALOM;5;3;2
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;F;COMBINE;1;1;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;F;FIGURES;3;2;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;F;SAUT;1;1;0
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;F;SLALOM;5;3;2
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;M;COMBINE;3;2;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;M;FIGURES;4;3;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;M;SAUT;4;3;1
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;M;SLALOM;8;6;2
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;35+;F;FIGURES;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;35+;F;SLALOM;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;35+;M;COMBINE;4;4;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;35+;M;FIGURES;5;5;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;35+;M;SAUT;4;4;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;35+;M;SLALOM;7;7;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;45+;F;FIGURES;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;45+;F;SLALOM;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;45+;M;COMBINE;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;45+;M;FIGURES;2;2;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;45+;M;SAUT;2;2;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;45+;M;SLALOM;10;10;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;F;COMBINE;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;F;FIGURES;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;F;SAUT;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;F;SLALOM;5;5;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;M;COMBINE;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;M;FIGURES;3;3;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;M;SAUT;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;55+;M;SLALOM;10;9;1
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;65+;M;FIGURES;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;65+;M;SLALOM;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;70+;M;FIGURES;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;70+;M;SLALOM;2;2;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;75+;M;FIGURES;1;1;0
2023;23FRA023;Championnats de France SENIOR 2023;SENIOR;1;SENIOR;75+;M;SLALOM;1;1;0
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;F;COMBINE;3;2;1
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;F;FIGURES;5;4;1
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;F;SAUT;3;2;1
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;F;SLALOM;7;6;1
2023;23FRA018;Championnat de France 2023 - U21 OPEN;U21_OPEN;1;OPEN;OPEN;M;COMBINE;2;2;0
