FromYear;ToYear;AthleteKey;Name;Sex;YOB;OpenCompetitionsFromYear;OpenPhysicalDisciplineCountFromYear;OpenChampionshipFromYear;DestinationStatus;OpenCompetitionsToYear;SeniorCompetitionsToYear
2023;2024;FRA|1983|BARONI ALEXIS;BARONI Alexis;M;1983;3;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1983|BEAUFILS JULIEN;BEAUFILS Julien;M;1983;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1986|PIEDNOEL ANTOINE;PIEDNOEL Antoine;M;1986;3;0;0;MAINTIEN_OPEN;4;0
2023;2024;FRA|1987|WELTER CLAIRE-LISE;WELTER Claire-Lise;F;1987;2;0;1;MAINTIEN_OPEN;2;0
2023;2024;FRA|1989|BALLON PIERRE;BALLON Pierre;M;1989;2;0;1;MAINTIEN_OPEN;1;0
2023;2024;FRA|1989|JAMIN ROLAND;JAMIN Roland;M;1989;7;0;1;MAINTIEN_OPEN;6;0
2023;2024;FRA|1989|PASQUALINI AYMERIC;PASQUALINI Aymeric;M;1989;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1990|BOBIN YOANN;BOBIN Yoann;M;1990;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1990|DAILLAND THIBAUT;DAILLAND Thibaut;M;1990;1;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1991|COSTARD MANON;COSTARD Manon;F;1991;2;0;1;MAINTIEN_OPEN;1;0
2023;2024;FRA|1991|DESFOND GREGOIRE;DESFOND Gregoire;M;1991;4;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1991|MARTINI MARIE;MARTINI Marie;F;1991;11;0;1;MAINTIEN_OPEN;13;0
2023;2024;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;M;1992;3;0;1;MAINTIEN_OPEN;2;0
2023;2024;FRA|1992|FRAISSE ROMAIN;FRAISSE Romain;M;1992;2;0;0;MAINTIEN_OPEN;1;0
2023;2024;FRA|1993|ROUSSET KILLIAN;ROUSSET Killian;M;1993;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;M;1994;11;0;1;MAINTIEN_OPEN;13;0
2023;2024;FRA|1994|COINTEPAS THOMAS;COINTEPAS Thomas;M;1994;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1994|PHILY LAURA;PHILY Laura;F;1994;3;0;1;MAINTIEN_OPEN;2;0
2023;2024;FRA|1994|VIRCOULON LAURENCE;VIRCOULON Laurence;F;1994;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;M;1995;2;0;1;MAINTIEN_OPEN;3;0
2023;2024;FRA|1995|GROISEAU AUDE;GROISEAU Aude;F;1995;2;0;0;MAINTIEN_OPEN;1;0
2023;2024;FRA|1995|PANTIGNY LILYAN;PANTIGNY Lilyan;M;1995;2;0;0;MAINTIEN_OPEN;2;0
2023;2024;FRA|1995|ROSSETTO TIMOTHEE;ROSSETTO Timothee;M;1995;2;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;F;1996;7;0;1;MAINTIEN_OPEN;5;0
2023;2024;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;M;1996;1;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1996|GRAS MARINE;GRAS Marine;F;1996;2;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1997|VIGEZZI ENZO;VIGEZZI Enzo;M;1997;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1998|ANGUENOT LEO;ANGUENOT Leo;M;1998;2;0;0;MAINTIEN_OPEN;2;0
2023;2024;FRA|1999|CALEN JULIAN;CALEN Julian;M;1999;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|1999|MIERMONT LEA;MIERMONT Lea;F;1999;2;0;1;MAINTIEN_OPEN;5;0
2023;2024;FRA|1999|MOULANIER MARIE-LOU;MOULANIER Marie-Lou;F;1999;4;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|2000|D ANGLEJAN THOMAS;D ANGLEJAN Thomas;M;2000;3;0;0;MAINTIEN_OPEN;5;0
2023;2024;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;M;2000;2;0;1;MAINTIEN_OPEN;1;0
2023;2024;FRA|2000|NEDEAU TANGUY;NEDEAU Tanguy;M;2000;4;0;1;MAINTIEN_OPEN;1;0
2023;2024;FRA|2000|ROUSSET BLANDINE;ROUSSET Blandine;F;2000;1;0;0;MAINTIEN_OPEN;1;0
2023;2024;FRA|2001|CONSTANS LEA;CONSTANS Lea;F;2001;1;0;0;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|2001|MIQUEL AUDE;MIQUEL Aude;F;2001;2;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|2001|MOREL BENJAMIN;MOREL Benjamin;M;2001;4;0;1;SORTIE_DU_CIRCUIT_FRANCAIS_EMS;0;0
2023;2024;FRA|2001|ROUSSELOT NICOLAS;ROUSSELOT Nicolas;M;2001;3;0;0;MAINTIEN_OPEN;9;0
2023;2024;FRA|2002|CONSTANS BASTIEN;CONSTANS Bastien;M;2002;1;0;1;MAINTIEN_OPEN;3;0
2023;2024;FRA|2003|GERMON THEO;GERMON Theo;M;2003;1;0;0;MAINTIEN_OPEN;1;0
