Year;Dimension;Group;OpenAthletes;OpenNextYear;RetentionRatePercent;MeanCompetitions;MedianCompetitions
2023;ALL;ALL;41;23;56.1;2.732;2.0
2023;INTENSITY;1_COMPETITION;12;3;25.0;1.0;1.0
2023;INTENSITY;2_COMPETITIONS;15;10;66.7;2.0;2.0
2023;INTENSITY;3_4_COMPETITIONS;10;6;60.0;3.4;3.0
2023;INTENSITY;5_PLUS;4;4;100.0;9.0;9.0
2023;CHAMPIONSHIP;ABSENT_CHAMPIONNAT;23;10;43.5;1.783;2.0
2023;CHAMPIONSHIP;PRESENT_CHAMPIONNAT;18;13;72.2;3.944;3.0
2024;ALL;ALL;37;24;64.9;3.135;2.0
2024;INTENSITY;1_COMPETITION;13;7;53.8;1.0;1.0
2024;INTENSITY;2_COMPETITIONS;11;5;45.5;2.0;2.0
2024;INTENSITY;3_4_COMPETITIONS;5;4;80.0;3.6;4.0
2024;INTENSITY;5_PLUS;8;8;100.0;7.875;6.5
2024;CHAMPIONSHIP;ABSENT_CHAMPIONNAT;21;13;61.9;2.143;2.0
2024;CHAMPIONSHIP;PRESENT_CHAMPIONNAT;16;11;68.8;4.438;2.5
