Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;FrenchAthletesAll;FrenchTargetAthletes;FrenchReleves;FrenchU17;FrenchU21;FrenchOpen;FrenchSenior;FrenchOther;TargetSharePercent;OpenSharePercent;SeniorSharePercent;HasU21;HasOpen;HasFiveOpen;HasFiveU21Open;AnalyticalProfile
2023;23FRA001;30 Jun - 2 Jul 2023;MALIBU OPEN LACANAU;INTER;R;Lacanau Ski Cl...;22;18;0;6;4;8;4;0;81.8;36.4;18.2;1;1;1;1;CENTREE_OPEN
2023;23FRA002;1-2 Jul 2023;LE PLAN D'EAU 3D JUILLET;INTER;L;Club Omnisport...;25;5;4;2;0;3;16;0;20.0;12.0;64.0;0;1;0;0;DOMINANTE_SENIOR
2023;23FRA003;24-25 Jun 2023;Ski Caraibes Slalom CUP 2023;INTER;L;Ski Caraibes A...;19;4;3;1;1;2;12;0;21.1;10.5;63.2;1;1;0;0;DOMINANTE_SENIOR
2023;23FRA004;8-9 Jul 2023;Ski Caraibes 3D- Championnats de Ligue AURA 2023;INTER;L;Ski Caraibes A...;13;4;4;1;1;2;5;0;30.8;15.4;38.5;1;1;0;0;FILIERE_CIBLE_FAIBLE
2023;23FRA006;17-18 Jun 2023;Bordeaux Slalom Cup;INTER;L;Ski Nautique C...;22;10;2;2;3;5;10;0;45.5;22.7;45.5;1;1;1;1;U21_OPEN_SIGNIFICATIF
2023;23FRA007;7-8 Oct 2023;Baurech Classic;INTER;L;Ski Nautique C...;33;12;5;4;3;5;16;0;36.4;15.2;48.5;1;1;1;1;U21_OPEN_SIGNIFICATIF
2023;23FRA008;2-3 Sep 2023;AQUACUP;INTER;L;Aqu'Aventure;21;9;0;1;1;7;12;0;42.9;33.3;57.1;1;1;1;1;DOMINANTE_SENIOR
2023;23FRA010;17-18 Jun 2023;THE FUNGLISS PRO AM;INTER;R;FUNGLISS DOMMA...;18;7;0;0;0;7;11;0;38.9;38.9;61.1;0;1;1;1;DOMINANTE_SENIOR
2023;23FRA011;20-21 May 2023;Magic Cup;INTER;L;Nemours Grez/l...;8;6;0;0;1;5;2;0;75.0;62.5;25.0;1;1;1;1;CENTREE_OPEN
2023;23FRA012;14-15 Oct 2023;Freezing Magic Cup;INTER;L;Nemours Grez/l...;19;7;1;1;0;6;11;0;36.8;31.6;57.9;0;1;1;1;DOMINANTE_SENIOR
2023;23FRA013;26-27 Aug 2023;Coupe du pays de MONTBELIARD;INTER;L;Ski nautique M...;20;5;2;2;1;2;13;0;25.0;10.0;65.0;1;1;0;0;DOMINANTE_SENIOR
2023;23FRA014;9-10 Sep 2023;LACANAU SKI CLASSIC;INTER;L;Lacanau Ski Cl...;35;17;1;4;5;8;17;0;48.6;22.9;48.6;1;1;1;1;U21_OPEN_SIGNIFICATIF
2023;23FRA015;8-9 Jul 2023;Vinney's Cup 23;INTER;L;Ski Nautique C...;13;4;5;1;2;1;4;0;30.8;7.7;30.8;1;1;0;0;FILIERE_CIBLE_FAIBLE
2023;23FRA016;5-6 Aug 2023;Austin's Cup 23;INTER;L;Ski Nautique C...;14;5;1;0;3;2;8;0;35.7;14.3;57.1;1;1;0;1;DOMINANTE_SENIOR
2023;23FRA017;14-16 Jul 2023;Championnat de France RELEVE 2023;NatCH;L;Ski Nautique C...;23;9;14;9;0;0;0;0;39.1;0.0;0.0;0;0;0;0;FILIERE_CIBLE_FAIBLE
2023;23FRA018;18-19 Jul 2023;Championnat de France 2023 - U21 + OPEN;NatCH;R;Ski Nautique C...;31;31;0;0;13;18;0;0;100.0;58.1;0.0;1;1;1;1;CENTREE_OPEN
2023;23FRA019;28-30 Jul 2023;Coupe de Meuzac;INTER;L;BEACH SKI ACAD...;37;18;4;4;6;8;15;0;48.6;21.6;40.5;1;1;1;1;U21_OPEN_SIGNIFICATIF
2023;23FRA020;23-24 Sep 2023;Championnat de France INTERLIGUES 2023;NatCH;L;Moissac;18;8;4;1;3;4;6;0;44.4;22.2;33.3;1;1;0;1;U21_OPEN_SIGNIFICATIF
2023;23FRA023;15-16 Jul 2023;Championnat de France SENIOR 2023;NatCH;L;Touraine Ski ...;42;0;0;0;0;0;42;0;0.0;0.0;100.0;0;0;0;0;SENIOR_SANS_FILIERE_CIBLE
2023;23FRA024;16-17 Sep 2023;Magic Ski Time;INTER;L;Nemours Grez/l...;11;4;1;1;0;3;6;0;36.4;27.3;54.5;0;1;0;0;DOMINANTE_SENIOR
2023;23FRA025;6-7 Jul 2023;Magic Trophy;INTER;L;Nemours Grez/l...;10;3;1;0;0;3;6;0;30.0;30.0;60.0;0;1;0;0;DOMINANTE_SENIOR
