AthleteKey;Name;Sex;YOB;FirstU21YearInWindow;U21Years;FirstOpenYearInWindow;DelayU21ToOpenYears;Outcome;RightCensored;U21CompetitionsFirstYear
FRA|2002|AMBLARD ARTHUR;AMBLARD Arthur;M;2002;2023;2023;2024;1;OPEN_ANNEE_SUIVANTE;0;5
FRA|2002|ANGUENOT INES;ANGUENOT Inès;F;2002;2023;2023;2024;1;OPEN_ANNEE_SUIVANTE;0;3
FRA|2002|CONSTANS BASTIEN;CONSTANS Bastien;M;2002;2023;2023;2023;0;OPEN_MEME_ANNEE;0;1
FRA|2002|MIERMONT KIARA;MIERMONT Kiara;F;2002;2023;2023;2025;2;OPEN_PLUS_TARD;0;2
FRA|2002|SONIER PERRINE;SONIER Perrine;F;2002;2023;2023;2024;1;OPEN_ANNEE_SUIVANTE;0;5
FRA|2003|CURTI OCEANE;CURTI Océane;F;2003;2023;2023;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;3
FRA|2003|GERMON THEO;GERMON Theo;M;2003;2023;2023;2023;0;OPEN_MEME_ANNEE;0;1
FRA|2003|PAGET MARIE;PAGET Marie;F;2003;2023;2023 | 2024;2025;2;OPEN_PLUS_TARD;0;2
FRA|2003|VERMOT-GAUD GABIN;VERMOT-GAUD Gabin;M;2003;2023;2023 | 2024;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;1
FRA|2003|ZULIAN PAUL;ZULIAN Paul;M;2003;2023;2023;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;2
FRA|2004|BARBIER LOHAN;BARBIER Lohan;M;2004;2025;2025;;;SANS_OPEN_OBSERVE_DROITE_CENSUREE;1;1
FRA|2004|MORIN ANTOINE;MORIN Antoine;M;2004;2023;2023 | 2024 | 2025;2025;2;OPEN_PLUS_TARD;0;2
FRA|2004|NEYRAC ALBAN;NEYRAC Alban;M;2004;2023;2023 | 2024 | 2025;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;4
FRA|2004|NICOLAS MATHIS;NICOLAS Mathis;M;2004;2023;2023 | 2024 | 2025;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;2
FRA|2004|NOTAT HUGO;NOTAT Hugo;M;2004;2023;2023 | 2024 | 2025;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;7
FRA|2004|POISSONNIER ROMANE;POISSONNIER Romane;F;2004;2025;2025;;;SANS_OPEN_OBSERVE_DROITE_CENSUREE;1;1
FRA|2004|SNITER MATHILDE;SNITER Mathilde;F;2004;2023;2023;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;4
FRA|2004|STAB BAPTISTE;STAB Baptiste;M;2004;2024;2024;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;1
FRA|2005|CORTES EMMA;CORTES Emma;F;2005;2023;2023 | 2024;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;1
FRA|2005|FAUTREL SEBASTIEN;FAUTREL Sébastien;M;2005;2024;2024 | 2025;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;5
FRA|2005|LAVAU CLARENS;LAVAU Clarens;M;2005;2023;2023 | 2025;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;1
FRA|2005|MURAT BASTIEN;MURAT Bastien;M;2005;2023;2023 | 2024;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;1
FRA|2005|SEGUIN-SAINTURET LUCAS;SEGUIN-SAINTURET Lucas;M;2005;2024;2024;;;SANS_OPEN_OBSERVE_JUSQU_EN_2025;0;1
