"Date";"Discipline";"Type";"Homol.";"Country";"Name";"";"Site";"EMS Code";"Nat. Code"
"5-6 Jun 2021";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville SLALOM CUP";"";"Ski Caraibes A...";"21FRA005";""
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue Ile de France";"";"Nemours Grez/l...";"21FRA036";""
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"21FRA021";""
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"TROPHEE DES JOLIES FILLES";"";"Club Arc Dijon...";"21FRA004";""
"19-20 Jun 2021";"Waterski";"Pro Tour";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"21FRA034";""
"19-21 Jun 2021";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville 3D";"";"Ski Caraibes A...";"21FRA006";""
"25 Jun 2021";"Waterski";"INTER";"L";"FRA";"AQUACHALLENGE";"";"Aqu'Aventure";"21FRA008";""
"26-27 Jun 2021";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUIN";"";"Club Omnisport...";"21FRA025";""
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 21";"";"Ski Nautique C...";"21FRA030";""
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue CVL - 3D";"";"Touraine Ski ...";"21FRA019";""
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Coupe de Pitrot";"";"Lacanau Ski Cl...";"21FRA028";""
"9-11 Jul 2021";"Waterski";"NatCH";"L";"FRA";"Championnats de France RELEVES";"";"Ski Nautique M...";"21FRA045";""
"10-11 Jul 2021";"Waterski";"INTER";"L";"FRA";"Magic Lakes’ Challenge";"";"Nemours Grez/l...";"21FRA042";""
"13-14 Jul 2021";"Waterski";"NatCH";"R";"FRA";"Championnat de France OPEN";"";"Ski Nautique M...";"21FRA046";""
"24-25 Jul 2021";"Waterski";"INTER";"L";"FRA";"Grand Prix de Marcillac";"";"Ski Club Nauti...";"21FRA016";""
"31 Jul - 1 Aug 2021";"Waterski";"NatCH";"L";"FRA";"Championnats de France SENIOR";"";"Touraine Ski ...";"21FRA044";""
"31 Jul - 1 Aug 2021";"Waterski";"INTER";"NL";"FRA";"CHAMPIONNATS DU MONT DE LAROCHE";"";"Association Sp...";"21FRA038";""
"7-8 Aug 2021";"Waterski";"NAT";"L";"FRA";"Championnats de Ligue OCC Ski Classique";"";"Cajarc (Lot)";"21FRA033";""
"14-15 Aug 2021";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS 2.0";"";"FUNGLISS DOMMA...";"21FRA035";""
"21-22 Aug 2021";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"21FRA040";""
"21-22 Aug 2021";"Waterski";"INTER";"L";"FRA";"Austin's Cup 21";"";"Ski Nautique C...";"21FRA031";""
"27-29 Aug 2021";"Waterski";"INTER";"L";"FRA";"Bordeaux 3D";"";"Ski Nautique C...";"21FRA023";""
"28-29 Aug 2021";"Waterski";"INTER";"L";"FRA";"Championnat de ligue Bourgogne Franche Comté";"";"Ski nautique M...";"21FRA027";""
"4-5 Sep 2021";"Waterski";"INTER";"L";"FRA";"AQUACUP";"";"Aqu'Aventure";"21FRA009";""
"4-5 Sep 2021";"Waterski";"INTER";"L";"FRA";"Mémorial Michel Naudinat Ch ligue NAQU";"";"Bombannes";"21FRA049";""
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Lacanau Slalom cup";"";"Lacanau Ski Cl...";"21FRA029";""
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge";"";"Club Nautique ...";"21FRA043";""
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"21FRA013";""
"12 Sep 2021";"Waterski";"NAT";"NL";"FRA";"Saint Pardoux Cup";"";"St Pardoux";"21FRA056";""
"13-19 Sep 2021 CANCELLED";"Waterski";"WC";"L";"FRA";"2020 IWWF World Over 35 Waterski Championships";"";"Ski Nautique C...";"21IWWF01";""
"18-19 Sep 2021";"Waterski";"INTER";"L";"FRA";"Grenoble Bois Français Slalom Contest";"";"Ski Nautique C...";"21FRA015";""
"25-26 Sep 2021";"Waterski";"NatCH";"L";"FRA";"Championnat de France INTERLIGUES";"";"Club Nautique ...";"21FRA048";""
"2-3 Oct 2021";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D octobre";"";"Club Omnisport...";"21FRA026";""
"2-3 Oct 2021";"Waterski";"INTER";"L";"FRA";"Magic Cup 2";"";"Nemours Grez/l...";"21FRA055";""
"9-10 Oct 2021 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville 3 events classic";"";"Ski Caraibes A...";"21FRA007";""
"16-17 Oct 2021";"Waterski";"INTER";"L";"FRA";"Baurech Classic";"";"Ski Nautique C...";"21FRA024";""
"28-29 May 2022";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"22FRA017";""
"11-12 Jun 2022";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"22FRA014";""
"11-12 Jun 2022";"Waterski";"INTER";"L";"FRA";"TROPHEE DES JOLIES FILLES";"";"Club Arc Dijon...";"22FRA003";""
"18-19 Jun 2022";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"22FRA001";""
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue Ile-de-France";"";"Nemours Grez/l...";"22FRA009";""
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2";"";"Club Omnisport...";"22FRA006";""
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom CUP";"";"Ski Caraibes A...";"22FRA010";""
"2-3 Jul 2022";"Waterski";"NAT";"L";"FRA";"Ch Ligue NAQU - Mémorial Michel NAUDINAT";"";"Jarnac";"22FRA023";""
"2-3 Jul 2022";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 22";"";"Ski Nautique C...";"22FRA026";""
"8-10 Jul 2022";"Waterski";"INTER";"R";"FRA";"Malibu Open LACANAU proam 2022";"";"Lacanau Ski Cl...";"22FRA002";""
"13-14 Jul 2022";"Waterski";"NatCH";"L";"FRA";"Championnats de France SENIOR";"";"Ski Nautique C...";"22FRA029";""
"18-20 Jul 2022";"Waterski";"NatCH";"R";"FRA";"Championnat de France OPEN U21";"";"Ski Nautique C...";"22FRA031";""
"23-24 Jul 2022";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC";"";"Ski Club Nauti...";"22FRA037";""
"30-31 Jul 2022";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"22FRA028";""
"6-7 Aug 2022";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"22FRA024";""
"13-14 Aug 2022";"Waterski";"INTER";"L";"FRA";"The Fungliss 3.0";"";"FUNGLISS DOMMA...";"22FRA013";""
"17 Aug 2022";"Waterski";"NAT";"NL";"FRA";"St Pardoux Contest";"";"St Pardoux";"22FRA038";""
"20-21 Aug 2022";"Waterski";"INTER";"L";"FRA";"Austin's Cup 22";"";"Ski Nautique C...";"22FRA027";""
"26-28 Aug 2022";"Waterski";"NatCH";"L";"FRA";"Championnats de France RELEVES U10 to U17 - Championnat de Ligue BFC";"";"Ski nautique M...";"22FRA030";""
"27-28 Aug 2022";"Waterski";"INTER";"L";"FRA";"Baurech 3D";"";"Ski Nautique C...";"22FRA015";""
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"22FRA021";""
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"22FRA022";""
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Aqua'Cup";"";"Aqu'Aventure";"22FRA011";""
"10-11 Sep 2022";"Waterski";"INTER";"L";"FRA";"PARIS - Viry Lake's challenge";"";"Club Nautique ...";"22FRA012";""
"10-11 Sep 2022 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue Auvergne-Rhône-Alpes 3D";"";"Bourg-en-Bress...";"22FRA004";""
"10-18 Sep 2022";"Waterski";"WC";"R";"FRA";"2022 IWWF World Over-35 Waterski Championships";"";"Ski Nautique C...";"22IWWF10";""
"10-11 Sep 2022";"Waterski";"INTER";"L";"FRA";"Lacanau ski classic";"";"Lacanau Ski Cl...";"22FRA018";""
"30 Sep - 2 Oct 2022";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2/2";"";"Club Omnisport...";"22FRA007";""
"8-9 Oct 2022";"Waterski";"INTER";"L";"FRA";"Baurech Cup";"";"Ski Nautique C...";"22FRA016";""
"15-16 Oct 2022";"Waterski";"INTER";"L";"FRA";"Freezing Magic Cup";"";"Nemours Grez/l...";"22FRA025";""
"20-21 May 2023";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"23FRA011";""
"17-18 Jun 2023";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"23FRA010";""
"17-18 Jun 2023";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"23FRA006";""
"24-25 Jun 2023";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom CUP 2023";"";"Ski Caraibes A...";"23FRA003";""
"30 Jun - 2 Jul 2023";"Waterski";"INTER";"R";"FRA";"MALIBU OPEN LACANAU";"";"Lacanau Ski Cl...";"23FRA001";""
