"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"TROPHEE DES JOLIES FILLES";"";"Club Arc Dijon...";"21FRA004";"";"https://ems.iwwf.sport/Competitions/Details?Id=ab5caebf-db2d-415b-90eb-8e2ecc02ded6"
"5-6 Jun 2021";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville SLALOM CUP";"";"Ski Caraibes A...";"21FRA005";"";"https://ems.iwwf.sport/Competitions/Details?Id=170703b1-ae8f-4e0a-a071-e82a0e2d6f68"
"19-21 Jun 2021";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville 3D";"";"Ski Caraibes A...";"21FRA006";"";"https://ems.iwwf.sport/Competitions/Details?Id=d3a3b537-7918-4892-8ca7-4e839d9bffa7"
"9-10 Oct 2021 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Albertville 3 events classic";"";"Ski Caraibes A...";"21FRA007";"";"https://ems.iwwf.sport/Competitions/Details?Id=3d3fd3a4-c363-4b47-ac78-8bef03de33f6"
"25 Jun 2021";"Waterski";"INTER";"L";"FRA";"AQUACHALLENGE";"";"Aqu'Aventure";"21FRA008";"";"https://ems.iwwf.sport/Competitions/Details?Id=c64e801e-5e40-48df-8e78-ced8d8c2d47f"
"4-5 Sep 2021";"Waterski";"INTER";"L";"FRA";"AQUACUP";"";"Aqu'Aventure";"21FRA009";"";"https://ems.iwwf.sport/Competitions/Details?Id=79cfe10d-553d-4ce1-ad3f-099de71ea781"
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"21FRA013";"";"https://ems.iwwf.sport/Competitions/Details?Id=27c1fbfd-6433-43cc-83af-a4fe7a27d04c"
"18-19 Sep 2021";"Waterski";"INTER";"L";"FRA";"Grenoble Bois Français Slalom Contest";"";"Ski Nautique C...";"21FRA015";"";"https://ems.iwwf.sport/Competitions/Details?Id=afb7c7d0-5d3a-4aaa-8dc8-cfc67dfe6f9a"
"24-25 Jul 2021";"Waterski";"INTER";"L";"FRA";"Grand Prix de Marcillac";"";"Ski Club Nauti...";"21FRA016";"";"https://ems.iwwf.sport/Competitions/Details?Id=b106f02b-f5be-4638-b980-de62326727e8"
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue CVL - 3D";"";"Touraine Ski ...";"21FRA019";"";"https://ems.iwwf.sport/Competitions/Details?Id=4f004d39-eeff-40f7-a4a5-b5a2aa55f3ad"
"12-13 Jun 2021";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"21FRA021";"";"https://ems.iwwf.sport/Competitions/Details?Id=2709a317-c269-47f7-a3f7-22d967ce87ae"
"27-29 Aug 2021";"Waterski";"INTER";"L";"FRA";"Bordeaux 3D";"";"Ski Nautique C...";"21FRA023";"";"https://ems.iwwf.sport/Competitions/Details?Id=5e7bac7d-c8df-459c-b411-cf2c74763dcd"
"16-17 Oct 2021";"Waterski";"INTER";"L";"FRA";"Baurech Classic";"";"Ski Nautique C...";"21FRA024";"";"https://ems.iwwf.sport/Competitions/Details?Id=633aaaa0-424b-4d7e-b761-19395eeeed83"
"26-27 Jun 2021";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUIN";"";"Club Omnisport...";"21FRA025";"";"https://ems.iwwf.sport/Competitions/Details?Id=ef34e606-b0fb-443a-9dc6-99d1aaab5af2"
"2-3 Oct 2021";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D octobre";"";"Club Omnisport...";"21FRA026";"";"https://ems.iwwf.sport/Competitions/Details?Id=29f2c30e-e0ab-413d-8a19-7696fb1d9bd1"
"28-29 Aug 2021";"Waterski";"INTER";"L";"FRA";"Championnat de ligue Bourgogne Franche Comté";"";"Ski nautique M...";"21FRA027";"";"https://ems.iwwf.sport/Competitions/Details?Id=ca7bc72a-8a7f-4a56-ab1f-803512b980ba"
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Coupe de Pitrot";"";"Lacanau Ski Cl...";"21FRA028";"";"https://ems.iwwf.sport/Competitions/Details?Id=691f4be5-27d6-4431-8933-d413de70a2d4"
"11-12 Sep 2021";"Waterski";"INTER";"L";"FRA";"Lacanau Slalom cup";"";"Lacanau Ski Cl...";"21FRA029";"";"https://ems.iwwf.sport/Competitions/Details?Id=7576b9b5-28ed-486f-8a7b-17b8a2d478b0"
"3-4 Jul 2021";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 21";"";"Ski Nautique C...";"21FRA030";"";"https://ems.iwwf.sport/Competitions/Details?Id=802bb9fd-7012-490f-9a13-3b39df5492da"
"21-22 Aug 2021";"Waterski";"INTER";"L";"FRA";"Austin's Cup 21";"";"Ski Nautique C...";"21FRA031";"";"https://ems.iwwf.sport/Competitions/Details?Id=b314aeae-5d2c-485f-b4cf-7f1c4d15315c"
"7-8 Aug 2021";"Waterski";"NAT";"L";"FRA";"Championnats de Ligue OCC Ski Classique";"";"Cajarc (Lot)";"21FRA033";"";"https://ems.iwwf.sport/Competitions/Details?Id=cb2ac11a-bd72-47f9-9df5-936a64cf19ef"
"19-20 Jun 2021";"Waterski";"Pro Tour";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"21FRA034";"";"https://ems.iwwf.sport/Competitions/Details?Id=0e5623d3-dbbb-4b27-961b-3a2eb47d783b"
