"Date";"Discipline";"Type";"Homol.";"Country";"Name";"";"Site";"EMS Code";"Nat. Code"
"11-12 May 2024";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"24FRA004";""
"1-2 Jun 2024";"Waterski";"INTER";"L";"FRA";"Ezylake's cup";"";"Ezylake";"24FRA028";""
"2 Jun 2024";"Waterski";"INTER";"L";"FRA";"PITROT 1 DAY";"";"Lacanau Ski Cl...";"24FRA019";""
"8-9 Jun 2024";"Waterski";"INTER";"L";"FRA";"Magic Challenge";"";"Nemours Grez/l...";"24FRA036";""
"9 Jun 2024 CANCELLED";"Waterski";"INTER";"L";"FRA";"PITROT BIS 1 DAY";"";"Lacanau Ski Cl...";"24FRA035";""
"15-16 Jun 2024";"Waterski";"INTER";"L";"FRA";"BORDEAUX SLALOM CUP";"";"Ski Nautique C...";"24FRA009";""
"15-16 Jun 2024";"Waterski";"INTER";"L";"FRA";"Tours 3D event";"";"Touraine Ski ...";"24FRA021";""
"22-23 Jun 2024";"Waterski";"INTER";"R";"FRA";"The Fungliss Pro Am";"";"FUNGLISS DOMMA...";"24FRA001";""
"29-30 Jun 2024";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUIN";"";"Club Omnisport...";"24FRA005";""
"29-30 Jun 2024 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue IDF";"";"Club Nautique ...";"24FRA033";""
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"Ski Caraibes SLALOM CUP 2024";"";"Ski Caraibes A...";"24FRA007";""
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 24";"";"Ski Nautique C...";"24FRA023";""
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC 3D";"";"Lacanau Ski Cl...";"24FRA018";""
"12-14 Jul 2024";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES";"";"Ski Nautique C...";"24FRA026";""
"13-14 Jul 2024";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR";"";"Ski Nautique M...";"24FRA034";""
"16-17 Jul 2024";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Ski Nautique C...";"24FRA027";""
"27-28 Jul 2024";"Waterski";"NAT";"L";"FRA";"Championnats de ligue BFC";"";"Association Sp...";"24FRA013";""
"27-28 Jul 2024";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"24FRA030";""
"27-28 Jul 2024";"Waterski";"INTER";"L";"FRA";"Grand Prix de Marcillac - Championnat de Ligue NAQUA";"";"Ski Club Nauti...";"24FRA008";""
"2-4 Aug 2024";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"24FRA016";""
"9-11 Aug 2024";"Waterski";"RACHP";"R";"FRA";"2024 European Open Championships";"";"Ski Nautique C...";"24EURO04";""
"17-18 Aug 2024";"Waterski";"INTER";"L";"FRA";"Austin's Cup 24";"";"Ski Nautique C...";"24FRA024";""
"24-25 Aug 2024";"Waterski";"INTER";"L";"FRA";"Saint Pardoux Cup";"";"St Pardoux";"24FRA020";""
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"NL";"FRA";"Championnat de ligue OCC Ski Classique";"";"Blagnac Ski Na...";"24FRA022";""
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbéliard";"";"Ski nautique M...";"24FRA017";""
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"L";"FRA";"Magic Trophy";"";"Nemours Grez/l...";"24FRA031";""
"7-8 Sep 2024";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"24FRA012";""
"12-15 Sep 2024";"Waterski";"RACHP";"R";"FRA";"2024 IWWF E&A Under-21 Championship";"";"Lacanau Ski Cl...";"24EURO05";""
"14-15 Sep 2024";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #6";"";"Club Nautique ...";"24FRA002";""
"21-22 Sep 2024";"Waterski";"INTER";"L";"FRA";"Biggie's international";"";"Ezylake";"24FRA029";""
"21-22 Sep 2024";"Waterski";"INTER";"L";"FRA";"Jano's Cup 24";"";"Ski Nautique C...";"24FRA025";""
"28-29 Sep 2024 CANCELLED";"Waterski";"NatCH";"N";"FRA";"Championnat de France Interligues";"";"TO BE DEFINED";"24FRA032";""
"5-6 Oct 2024";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D";"";"Club Omnisport...";"24FRA039";""
"12-13 Oct 2024";"Waterski";"INTER";"L";"FRA";"BAURECH CLASSIC";"";"Ski Nautique C...";"24FRA010";""
"26-27 Oct 2024";"Waterski";"INTER";"L";"FRA";"Frozen Magic JG";"";"Nemours Grez/l...";"24FRA003";""
