"Date";"Discipline";"Type";"Homol.";"Country";"Name";"Colonne_7";"Site";"EMS Code";"Nat. Code";"CompetitionUrl"
"16-17 May 2026";"Waterski";"INTER";"L";"FRA";"Magic Cup 2026";"";"Nemours Grez/l...";"26FRA003";"";"https://ems.iwwf.sport/Competitions/Details?Id=2333045c-fa22-4956-8c36-2410536dbfd6"
"30-31 May 2026";"Waterski";"INTER";"L";"FRA";"Trick Tours Contest";"";"Touraine Ski ...";"26FRA032";"";"https://ems.iwwf.sport/Competitions/Details?Id=be773db1-ca97-4292-80f6-9e88d3f54944"
"6-7 Jun 2026";"Waterski";"INTER";"L";"FRA";"BEACH SKI ACADEMY CUP - Meuzac";"";"BEACH SKI ACAD...";"26FRA012";"";"https://ems.iwwf.sport/Competitions/Details?Id=eae3a6f6-d463-48df-8763-02b53b258b16"
"13-14 Jun 2026 CANCELLED";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM CUP RL / 4 RDS";"";"Windsor Ski Cl...";"26FRA008";"";"https://ems.iwwf.sport/Competitions/Details?Id=e95ccadd-51cd-4236-afb4-7aeb20cc376a"
"13-14 Jun 2026";"Waterski";"INTER";"L";"FRA";"Le Trophée d'Arc - 3D";"";"Arc sur Tille";"26FRA007";"";"https://ems.iwwf.sport/Competitions/Details?Id=14ca4613-2b32-4fb3-b356-f1d7efe11b97"
"14 Jun 2026 CANCELLED";"Waterski";"NAT";"N";"FRA";"Championnat de Ligue IDF 2026";"";"Club Nautique ...";"26FRA050";"";"https://ems.iwwf.sport/Competitions/Details?Id=7a4c352a-f184-400b-b53c-5b268f3a54d2"
"20-21 Jun 2026";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"26FRA002";"";"https://ems.iwwf.sport/Competitions/Details?Id=e4f36271-9f59-44a9-ab6c-f81db1e54126"
"26 Jun 2026 CANCELLED";"Waterski";"INTER";"L";"FRA";"Aquacup 3SL";"";"Aqu'Aventure";"26FRA044";"";"https://ems.iwwf.sport/Competitions/Details?Id=84aef469-bff3-4142-8911-7ee908a6d71f"
"26-28 Jun 2026";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom & Tricks";"";"Albertville";"26FRA014";"";"https://ems.iwwf.sport/Competitions/Details?Id=3e3c21d8-3f5e-442d-b903-c3330280a298"
"27-28 Jun 2026";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2";"";"Club Omnisport...";"26FRA018";"";"https://ems.iwwf.sport/Competitions/Details?Id=f42bdf0f-4644-42fb-b64e-2415e1275aa1"
